Wavelength (nm);Intensity (dBm)
1131.0;1131.0
1200.0;-61.47
1200.199;-61.45
1200.398;-61.39
1200.597;-61.39
1200.797;-61.34
1200.996;-61.28
1201.195;-61.26
1201.394;-61.2
1201.593;-61.18
1201.792;-61.08
1201.991;-60.99
1202.19;-60.97
1202.389;-60.9
1202.589;-60.83
1202.788;-60.78
1202.987;-60.72
1203.186;-60.68
1203.385;-60.59
1203.584;-60.54
1203.783;-60.5
1203.982;-60.46
1204.181;-60.42
1204.381;-60.35
1204.58;-60.31
1204.779;-60.28
1204.978;-60.22
1205.177;-60.18
1205.376;-60.11
1205.575;-60.11
1205.774;-60.07
1205.974;-60.06
1206.173;-59.99
1206.372;-59.96
1206.571;-59.98
1206.77;-59.96
1206.969;-59.92
1207.168;-59.92
1207.367;-59.91
1207.566;-59.9
1207.766;-59.88
1207.965;-59.88
1208.164;-59.91
1208.363;-59.87
1208.562;-59.83
1208.761;-59.78
1208.96;-59.79
1209.159;-59.75
1209.358;-59.69
1209.558;-59.62
1209.757;-59.58
1209.956;-59.55
1210.155;-59.48
1210.354;-59.38
1210.553;-59.32
1210.752;-59.29
1210.951;-59.2
1211.15;-59.11
1211.35;-59.03
1211.549;-58.99
1211.748;-58.95
1211.947;-58.85
1212.146;-58.81
1212.345;-58.76
1212.544;-58.74
1212.743;-58.68
1212.943;-58.61
1213.142;-58.62
1213.341;-58.58
1213.54;-58.55
1213.739;-58.51
1213.938;-58.5
1214.137;-58.52
1214.336;-58.45
1214.535;-58.41
1214.735;-58.39
1214.934;-58.37
1215.133;-58.33
1215.332;-58.26
1215.531;-58.22
1215.73;-58.2
1215.929;-58.13
1216.128;-58.07
1216.327;-57.99
1216.527;-57.98
1216.726;-57.91
1216.925;-57.8
1217.124;-57.75
1217.323;-57.69
1217.522;-57.64
1217.721;-57.53
1217.92;-57.44
1218.12;-57.42
1218.319;-57.35
1218.518;-57.28
1218.717;-57.19
1218.916;-57.14
1219.115;-57.11
1219.314;-57.06
1219.513;-57.01
1219.712;-56.99
1219.912;-56.99
1220.111;-56.96
1220.31;-56.93
1220.509;-56.94
1220.708;-56.97
1220.907;-56.97
