Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1263.3000;-29.8700;-28.7500;-1.1200
1263.4000;-29.8900;-28.7500;-1.1400
1263.5000;-29.9100;-28.6400;-1.2700
1263.6000;-29.9300;-28.6400;-1.2900
1263.7000;-29.9500;-28.5100;-1.4400
1263.8000;-29.9800;-28.5100;-1.4700
1263.9000;-30.0100;-28.3800;-1.6300
1264.0000;-30.0500;-28.3800;-1.6700
1264.1000;-30.0900;-28.2600;-1.8300
1264.2000;-30.1400;-28.2600;-1.8800
1264.3000;-30.1900;-28.1200;-2.0700
1264.4000;-30.2400;-28.1200;-2.1200
1264.5000;-30.2900;-28.0000;-2.2900
1264.6000;-30.3600;-28.0000;-2.3600
1264.7000;-30.4200;-27.8700;-2.5500
1264.8000;-30.4900;-27.8700;-2.6200
1264.9000;-30.5600;-27.7300;-2.8300
1265.0000;-30.6300;-27.7300;-2.9000
1265.1000;-30.7100;-27.6200;-3.0900
1265.2000;-30.8000;-27.6200;-3.1800
1265.3000;-30.8900;-27.4800;-3.4100
1265.4000;-30.9800;-27.4800;-3.5000
1265.5000;-31.0800;-27.3700;-3.7100
1265.6000;-31.1800;-27.3700;-3.8100
1265.7000;-31.2800;-27.2400;-4.0400
1265.8000;-31.3900;-27.2400;-4.1500
1265.9000;-31.5100;-27.1200;-4.3900
1266.0000;-31.6300;-27.1200;-4.5100
1266.1000;-31.7500;-27.0100;-4.7400
1266.2000;-31.8800;-27.0100;-4.8700
1266.3000;-32.0100;-26.8800;-5.1300
1266.4000;-32.1500;-26.8800;-5.2700
1266.5000;-32.3000;-26.7800;-5.5200
1266.6000;-32.4500;-26.7800;-5.6700
1266.7000;-32.6100;-26.6600;-5.9500
1266.8000;-32.7700;-26.6600;-6.1100
1266.9000;-32.9400;-26.5400;-6.4000
1267.0000;-33.1100;-26.5400;-6.5700
1267.1000;-33.3000;-26.4400;-6.8600
1267.2000;-33.4900;-26.4400;-7.0500
1267.3000;-33.6900;-26.3200;-7.3700
1267.4000;-33.8900;-26.3200;-7.5700
1267.5000;-34.1000;-26.2300;-7.8700
1267.6000;-34.3200;-26.1100;-8.2100
1267.7000;-34.5500;-26.1100;-8.4400
1267.8000;-34.7900;-25.9900;-8.8000
1267.9000;-35.0300;-25.9900;-9.0400
1268.0000;-35.2900;-25.9000;-9.3900
1268.1000;-35.5500;-25.9000;-9.6500
1268.2000;-35.8100;-25.7900;-10.0200
1268.3000;-36.0900;-25.7900;-10.3000
1268.4000;-36.3600;-25.7100;-10.6500
1268.5000;-36.6500;-25.7100;-10.9400
1268.6000;-36.9300;-25.5900;-11.3400
1268.7000;-37.2100;-25.5900;-11.6200
1268.8000;-37.4900;-25.4800;-12.0100
1268.9000;-37.7600;-25.4800;-12.2800
1269.0000;-38.0100;-25.3600;-12.6500
1269.1000;-38.2500;-25.3600;-12.8900
1269.2000;-38.4500;-25.2500;-13.2000
1269.3000;-38.6300;-25.2500;-13.3800
1269.4000;-38.7600;-25.1500;-13.6100
1269.5000;-38.8400;-25.1500;-13.6900
1269.6000;-38.8700;-25.0200;-13.8500
1269.7000;-38.8300;-25.0200;-13.8100
1269.8000;-38.7400;-24.9200;-13.8200
1269.9000;-38.5800;-24.9200;-13.6600
1270.0000;-38.3700;-24.7900;-13.5800
1270.1000;-38.1000;-24.7900;-13.3100
1270.2000;-37.7800;-24.6700;-13.1100
1270.3000;-37.4200;-24.6700;-12.7500
1270.4000;-37.0300;-24.5800;-12.4500
1270.5000;-36.6200;-24.5800;-12.0400
1270.6000;-36.2000;-24.4600;-11.7400
1270.7000;-35.7600;-24.4600;-11.3000
1270.8000;-35.3200;-24.3500;-10.9700
1270.9000;-34.8800;-24.3500;-10.5300
1271.0000;-34.4300;-24.2300;-10.2000
1271.1000;-33.9900;-24.2300;-9.7600
1271.2000;-33.5600;-24.1300;-9.4300
1271.3000;-33.1300;-24.1300;-9.0000
1271.4000;-32.7200;-24.0300;-8.6900
1271.5000;-32.3100;-24.0300;-8.2800
1271.6000;-31.9100;-23.9200;-7.9900
1271.7000;-31.5200;-23.9200;-7.6000
1271.8000;-31.1300;-23.8300;-7.3000
1271.9000;-30.7600;-23.8300;-6.9300
1272.0000;-30.4000;-23.7200;-6.6800
1272.1000;-30.0500;-23.7200;-6.3300
1272.2000;-29.7100;-23.6200;-6.0900
1272.3000;-29.3800;-23.6200;-5.7600
1272.4000;-29.0500;-23.5300;-5.5200
1272.5000;-28.7400;-23.5300;-5.2100
1272.6000;-28.4300;-23.4300;-5.0000
1272.7000;-28.1400;-23.4300;-4.7100
1272.8000;-27.8500;-23.3400;-4.5100
1272.9000;-27.5700;-23.3400;-4.2300
1273.0000;-27.3000;-23.2400;-4.0600
1273.1000;-27.0300;-23.2400;-3.7900
1273.2000;-26.7700;-23.1500;-3.6200
1273.3000;-26.5200;-23.1500;-3.3700
1273.4000;-26.2800;-23.0600;-3.2200
1273.5000;-26.0500;-23.0600;-2.9900
1273.6000;-25.8200;-22.9500;-2.8700
1273.7000;-25.6000;-22.9500;-2.6500
1273.8000;-25.3800;-22.8700;-2.5100
1273.9000;-25.1800;-22.8700;-2.3100
1274.0000;-24.9800;-22.7600;-2.2200
1274.1000;-24.7800;-22.7600;-2.0200
1274.2000;-24.6000;-22.6700;-1.9300
1274.3000;-24.4100;-22.6700;-1.7400
1274.4000;-24.2400;-22.5700;-1.6700
1274.5000;-24.0700;-22.5700;-1.5000
1274.6000;-23.9000;-22.4600;-1.4400
1274.7000;-23.7500;-22.4600;-1.2900
1274.8000;-23.5900;-22.3700;-1.2200
1274.9000;-23.4500;-22.3700;-1.0800
1275.0000;-23.3000;-22.2600;-1.0400
1275.1000;-23.1700;-22.2600;-0.9100
1275.2000;-23.0400;-22.1700;-0.8700
1275.3000;-22.9200;-22.1700;-0.7500
1275.4000;-22.8000;-22.0600;-0.7400
1275.5000;-22.6900;-22.0600;-0.6300
1275.6000;-22.5800;-21.9600;-0.6200
1275.7000;-22.4800;-21.9600;-0.5200
1275.8000;-22.3900;-21.8700;-0.5200
1275.9000;-22.3000;-21.8700;-0.4300
1276.0000;-22.2100;-21.7600;-0.4500
1276.1000;-22.1300;-21.7600;-0.3700
1276.2000;-22.0600;-21.6800;-0.3800
1276.3000;-21.9900;-21.6800;-0.3100
1276.4000;-21.9300;-21.5800;-0.3500
1276.5000;-21.8800;-21.5800;-0.3000
1276.6000;-21.8300;-21.4700;-0.3600
1276.7000;-21.7800;-21.4700;-0.3100
1276.8000;-21.7400;-21.4000;-0.3400
1276.9000;-21.7100;-21.4000;-0.3100
1277.0000;-21.6800;-21.3000;-0.3800
1277.1000;-21.6600;-21.3000;-0.3600
1277.2000;-21.6500;-21.2200;-0.4300
1277.3000;-21.6400;-21.2200;-0.4200
1277.4000;-21.6400;-21.1300;-0.5100
1277.5000;-21.6400;-21.1300;-0.5100
1277.6000;-21.6500;-21.0400;-0.6100
1277.7000;-21.6600;-21.0400;-0.6200
1277.8000;-21.6900;-20.9700;-0.7200
1277.9000;-21.7100;-20.9700;-0.7400
1278.0000;-21.7500;-20.8800;-0.8700
1278.1000;-21.7900;-20.8800;-0.9100
1278.2000;-21.8300;-20.8100;-1.0200
1278.3000;-21.8800;-20.8100;-1.0700
1278.4000;-21.9400;-20.7100;-1.2300
1278.5000;-22.0100;-20.7100;-1.3000
1278.6000;-22.0800;-20.6400;-1.4400
1278.7000;-22.1500;-20.6400;-1.5100
1278.8000;-22.2300;-20.5500;-1.6800
1278.9000;-22.3200;-20.5500;-1.7700
1279.0000;-22.4200;-20.4700;-1.9500
1279.1000;-22.5200;-20.4700;-2.0500
1279.2000;-22.6200;-20.3900;-2.2300
1279.3000;-22.7300;-20.3900;-2.3400
