Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1226.2830;-50.6800;-48.5000;-2.1800
1226.4820;-50.6500;-48.4400;-2.2100
1226.6810;-50.6100;-48.3800;-2.2300
1226.8810;-50.5800;-48.3400;-2.2400
1227.0800;-50.5500;-48.2700;-2.2800
1227.2790;-50.5200;-48.2200;-2.3000
1227.4780;-50.4900;-48.1600;-2.3300
1227.6770;-50.4500;-48.1000;-2.3500
1227.8760;-50.4300;-48.0400;-2.3900
1228.0750;-50.3900;-47.9600;-2.4300
1228.2740;-50.3600;-47.8900;-2.4700
1228.4740;-50.3300;-47.8300;-2.5000
1228.6730;-50.2800;-47.7500;-2.5300
1228.8720;-50.2400;-47.6800;-2.5600
1229.0710;-50.2000;-47.5900;-2.6100
1229.2700;-50.1600;-47.5100;-2.6500
1229.4690;-50.1100;-47.4300;-2.6800
1229.6680;-50.0500;-47.3500;-2.7000
1229.8670;-50.0000;-47.2700;-2.7300
1230.0660;-49.9500;-47.1800;-2.7700
1230.2660;-49.8900;-47.0900;-2.8000
1230.4650;-49.8300;-47.0100;-2.8200
1230.6640;-49.7700;-46.9200;-2.8500
1230.8630;-49.7300;-46.8600;-2.8700
1231.0620;-49.6800;-46.7700;-2.9100
1231.2610;-49.6400;-46.7100;-2.9300
1231.4600;-49.6200;-46.6500;-2.9700
1231.6590;-49.5600;-46.5700;-2.9900
1231.8580;-49.5100;-46.5100;-3.0000
1232.0580;-49.4800;-46.4400;-3.0400
1232.2570;-49.4300;-46.3800;-3.0500
1232.4560;-49.4100;-46.3300;-3.0800
1232.6550;-49.3600;-46.2600;-3.1000
1232.8540;-49.3200;-46.2000;-3.1200
1233.0530;-49.2800;-46.1400;-3.1400
1233.2520;-49.2300;-46.0700;-3.1600
1233.4510;-49.1900;-46.0100;-3.1800
1233.6500;-49.1300;-45.9400;-3.1900
1233.8500;-49.0800;-45.8900;-3.1900
1234.0490;-49.0200;-45.8000;-3.2200
1234.2480;-48.9500;-45.7500;-3.2000
1234.4470;-48.8900;-45.6600;-3.2300
1234.6460;-48.8100;-45.6000;-3.2100
1234.8450;-48.7400;-45.5200;-3.2200
1235.0440;-48.6400;-45.4400;-3.2000
1235.2430;-48.5600;-45.3800;-3.1800
1235.4430;-48.4700;-45.2700;-3.2000
1235.6420;-48.3700;-45.2000;-3.1700
1235.8410;-48.2800;-45.1000;-3.1800
1236.0400;-48.1700;-45.0100;-3.1600
1236.2390;-48.0600;-44.9200;-3.1400
1236.4380;-47.9500;-44.8100;-3.1400
1236.6370;-47.8500;-44.7300;-3.1200
1236.8360;-47.7500;-44.6400;-3.1100
1237.0350;-47.6400;-44.5500;-3.0900
1237.2350;-47.5300;-44.4700;-3.0600
1237.4340;-47.4300;-44.3600;-3.0700
1237.6330;-47.3300;-44.2900;-3.0400
1237.8320;-47.2400;-44.2100;-3.0300
1238.0310;-47.1300;-44.1100;-3.0200
1238.2300;-47.0400;-44.0500;-2.9900
1238.4290;-46.9300;-43.9500;-2.9800
1238.6280;-46.8300;-43.8800;-2.9500
1238.8270;-46.7400;-43.7900;-2.9500
1239.0270;-46.6400;-43.7200;-2.9200
1239.2260;-46.5400;-43.6500;-2.8900
1239.4250;-46.4200;-43.5500;-2.8700
1239.6240;-46.3200;-43.4800;-2.8400
1239.8230;-46.2300;-43.3900;-2.8400
1240.0220;-46.1100;-43.3100;-2.8000
1240.2210;-46.0000;-43.2300;-2.7700
1240.4200;-45.8600;-43.1300;-2.7300
1240.6200;-45.7700;-43.0500;-2.7200
1240.8190;-45.6400;-42.9400;-2.7000
1241.0180;-45.5100;-42.8300;-2.6800
1241.2170;-45.4000;-42.7300;-2.6700
1241.4160;-45.2600;-42.6200;-2.6400
1241.6150;-45.1300;-42.5000;-2.6300
1241.8140;-45.0000;-42.3900;-2.6100
1242.0130;-44.8800;-42.2700;-2.6100
1242.2120;-44.7600;-42.1700;-2.5900
1242.4120;-44.6400;-42.0400;-2.6000
1242.6110;-44.5200;-41.9300;-2.5900
1242.8100;-44.4000;-41.8000;-2.6000
1243.0090;-44.2800;-41.6800;-2.6000
1243.2080;-44.1800;-41.5700;-2.6100
1243.4070;-44.0700;-41.4500;-2.6200
1243.6060;-43.9700;-41.3300;-2.6400
1243.8050;-43.8700;-41.2100;-2.6600
1244.0040;-43.7700;-41.0900;-2.6800
