Wavelength (nm);Intensity (dBm)
2251.0;2251.0
1200.0;-62.29
1200.1;-62.27
1200.2;-62.25
1200.3;-62.23
1200.4;-62.21
1200.5;-62.19
1200.6;-62.17
1200.7;-62.15
1200.8;-62.13
1200.9;-62.11
1201.0;-62.08
1201.1;-62.05
1201.2;-62.03
1201.3;-62.0
1201.4;-61.97
1201.5;-61.95
1201.6;-61.92
1201.7;-61.89
1201.8;-61.86
1201.9;-61.82
1202.0;-61.8
1202.1;-61.77
1202.2;-61.74
1202.3;-61.72
1202.4;-61.69
1202.5;-61.66
1202.6;-61.63
1202.7;-61.6
1202.8;-61.57
1202.9;-61.54
1203.0;-61.52
1203.1;-61.49
1203.2;-61.46
1203.3;-61.44
1203.4;-61.41
1203.5;-61.39
1203.6;-61.36
1203.7;-61.34
1203.8;-61.31
1203.9;-61.29
1204.0;-61.27
1204.1;-61.24
1204.2;-61.22
1204.3;-61.19
1204.4;-61.17
1204.5;-61.14
1204.6;-61.12
1204.7;-61.1
1204.8;-61.07
1204.9;-61.05
1205.0;-61.03
1205.1;-61.01
1205.2;-60.99
1205.3;-60.96
1205.4;-60.94
1205.5;-60.92
1205.6;-60.9
1205.7;-60.88
1205.8;-60.86
1205.9;-60.84
1206.0;-60.82
1206.1;-60.8
1206.2;-60.77
1206.3;-60.76
1206.4;-60.74
1206.5;-60.72
1206.6;-60.7
1206.7;-60.68
1206.8;-60.66
1206.9;-60.64
1207.0;-60.61
1207.1;-60.6
1207.2;-60.58
1207.3;-60.56
1207.4;-60.54
1207.5;-60.52
1207.6;-60.5
1207.7;-60.49
1207.8;-60.47
1207.9;-60.45
1208.0;-60.43
1208.1;-60.42
1208.2;-60.4
1208.3;-60.38
1208.4;-60.37
1208.5;-60.35
1208.6;-60.33
1208.7;-60.32
1208.8;-60.3
1208.9;-60.28
1209.0;-60.26
1209.1;-60.25
1209.2;-60.23
1209.3;-60.21
1209.4;-60.19
1209.5;-60.17
1209.6;-60.15
1209.7;-60.14
1209.8;-60.12
1209.9;-60.1
1210.0;-60.08
1210.1;-60.07
1210.2;-60.05
1210.3;-60.03
1210.4;-60.02
1210.5;-60.0
1210.6;-59.99
1210.7;-59.98
1210.8;-59.97
1210.9;-59.96
1211.0;-59.95
1211.1;-59.95
1211.2;-59.94
1211.3;-59.94
1211.4;-59.93
1211.5;-59.93
1211.6;-59.93
1211.7;-59.93
1211.8;-59.93
1211.9;-59.93
1212.0;-59.93
1212.1;-59.94
1212.2;-59.94
1212.3;-59.95
1212.4;-59.95
1212.5;-59.95
1212.6;-59.96
1212.7;-59.97
1212.8;-59.97
1212.9;-59.98
1213.0;-59.98
1213.1;-59.99
1213.2;-59.99
1213.3;-59.99
1213.4;-60.0
1213.5;-60.0
1213.6;-59.99
1213.7;-59.99
1213.8;-59.98
1213.9;-59.97
1214.0;-59.97
1214.1;-59.95
1214.2;-59.94
1214.3;-59.93
1214.4;-59.91
1214.5;-59.89
1214.6;-59.87
1214.7;-59.85
1214.8;-59.83
1214.9;-59.81
1215.0;-59.78
1215.1;-59.76
1215.2;-59.73
1215.3;-59.7
1215.4;-59.67
1215.5;-59.64
1215.6;-59.61
1215.7;-59.58
1215.8;-59.55
1215.9;-59.52
1216.0;-59.49
1216.1;-59.46
1216.2;-59.42
1216.3;-59.39
1216.4;-59.36
1216.5;-59.32
1216.6;-59.29
1216.7;-59.25
1216.8;-59.22
1216.9;-59.18
1217.0;-59.15
1217.1;-59.11
1217.2;-59.07
1217.3;-59.04
1217.4;-59.0
1217.5;-58.96
1217.6;-58.92
1217.7;-58.88
1217.8;-58.84
1217.9;-58.8
1218.0;-58.76
1218.1;-58.72
1218.2;-58.68
1218.3;-58.63
1218.4;-58.59
1218.5;-58.55
1218.6;-58.51
1218.7;-58.46
1218.8;-58.42
1218.9;-58.38
1219.0;-58.33
1219.1;-58.29
1219.2;-58.25
1219.3;-58.21
1219.4;-58.17
1219.5;-58.13
1219.6;-58.09
1219.7;-58.05
1219.8;-58.01
1219.9;-57.97
1220.0;-57.94
1220.1;-57.9
1220.2;-57.86
1220.3;-57.83
1220.4;-57.79
1220.5;-57.76
1220.6;-57.72
1220.7;-57.68
1220.8;-57.65
1220.9;-57.62
1221.0;-57.58
1221.1;-57.54
1221.2;-57.51
1221.3;-57.48
1221.4;-57.44
1221.5;-57.41
1221.6;-57.37
1221.7;-57.34
1221.8;-57.3
1221.9;-57.27
1222.0;-57.23
1222.1;-57.19
1222.2;-57.16
1222.3;-57.12
1222.4;-57.08
1222.5;-57.04
1222.6;-57.01
1222.7;-56.97
1222.8;-56.93
1222.9;-56.89
1223.0;-56.85
1223.1;-56.81
1223.2;-56.78
1223.3;-56.74
1223.4;-56.7
1223.5;-56.66
1223.6;-56.62
1223.7;-56.59
1223.8;-56.55
1223.9;-56.52
1224.0;-56.48
1224.1;-56.45
1224.2;-56.42
1224.3;-56.39
1224.4;-56.36
1224.5;-56.33
1224.6;-56.3
1224.7;-56.27
1224.8;-56.25
1224.9;-56.22
1225.0;-56.2
1225.1;-56.18
1225.2;-56.15
1225.3;-56.13
1225.4;-56.11
1225.5;-56.1
1225.6;-56.08
1225.7;-56.06
1225.8;-56.05
1225.9;-56.03
1226.0;-56.01
1226.1;-56.0
1226.2;-55.99
1226.3;-55.98
1226.4;-55.96
1226.5;-55.95
1226.6;-55.94
1226.7;-55.93
1226.8;-55.92
1226.9;-55.91
1227.0;-55.89
1227.1;-55.88
1227.2;-55.87
1227.3;-55.86
1227.4;-55.85
1227.5;-55.83
1227.6;-55.82
1227.7;-55.81
1227.8;-55.8
1227.9;-55.78
1228.0;-55.77
1228.1;-55.76
1228.2;-55.74
1228.3;-55.73
1228.4;-55.71
1228.5;-55.7
1228.6;-55.68
1228.7;-55.67
1228.8;-55.66
1228.9;-55.64
1229.0;-55.62
1229.1;-55.61
1229.2;-55.59
1229.3;-55.58
1229.4;-55.56
1229.5;-55.55
1229.6;-55.53
1229.7;-55.51
1229.8;-55.5
1229.9;-55.48
1230.0;-55.47
1230.1;-55.45
1230.2;-55.44
1230.3;-55.43
1230.4;-55.41
1230.5;-55.4
1230.6;-55.39
1230.7;-55.38
1230.8;-55.37
1230.9;-55.36
1231.0;-55.36
1231.1;-55.35
1231.2;-55.34
1231.3;-55.33
1231.4;-55.33
1231.5;-55.32
1231.6;-55.32
1231.7;-55.31
1231.8;-55.3
1231.9;-55.29
1232.0;-55.28
1232.1;-55.28
1232.2;-55.27
1232.3;-55.26
1232.4;-55.25
1232.5;-55.24
1232.6;-55.22
1232.7;-55.21
1232.8;-55.19
1232.9;-55.18
1233.0;-55.16
1233.1;-55.15
1233.2;-55.13
1233.3;-55.11
1233.4;-55.09
1233.5;-55.06
1233.6;-55.04
1233.7;-55.01
1233.8;-54.98
1233.9;-54.95
1234.0;-54.92
1234.1;-54.89
1234.2;-54.85
1234.3;-54.82
1234.4;-54.78
1234.5;-54.74
1234.6;-54.7
1234.7;-54.66
1234.8;-54.61
1234.9;-54.57
1235.0;-54.52
1235.1;-54.48
1235.2;-54.43
1235.3;-54.38
1235.4;-54.33
1235.5;-54.28
1235.6;-54.23
1235.7;-54.17
1235.8;-54.12
1235.9;-54.07
1236.0;-54.02
1236.1;-53.96
1236.2;-53.91
1236.3;-53.85
1236.4;-53.8
1236.5;-53.75
1236.6;-53.69
1236.7;-53.64
1236.8;-53.58
1236.9;-53.53
1237.0;-53.48
1237.1;-53.43
1237.2;-53.37
1237.3;-53.32
1237.4;-53.27
1237.5;-53.22
1237.6;-53.17
1237.7;-53.11
1237.8;-53.06
1237.9;-53.01
1238.0;-52.96
1238.1;-52.91
1238.2;-52.86
1238.3;-52.81
1238.4;-52.76
1238.5;-52.71
1238.6;-52.66
1238.7;-52.61
1238.8;-52.55
1238.9;-52.5
1239.0;-52.45
1239.1;-52.39
1239.2;-52.34
1239.3;-52.28
1239.4;-52.22
1239.5;-52.16
1239.6;-52.11
1239.7;-52.05
1239.8;-51.99
1239.9;-51.93
1240.0;-51.87
1240.1;-51.8
1240.2;-51.74
1240.3;-51.68
1240.4;-51.61
1240.5;-51.55
1240.6;-51.48
1240.7;-51.41
1240.8;-51.34
1240.9;-51.27
1241.0;-51.19
1241.1;-51.12
1241.2;-51.04
1241.3;-50.97
1241.4;-50.89
1241.5;-50.82
1241.6;-50.74
1241.7;-50.67
1241.8;-50.59
1241.9;-50.51
1242.0;-50.44
1242.1;-50.36
1242.2;-50.28
1242.3;-50.21
1242.4;-50.13
1242.5;-50.05
1242.6;-49.97
1242.7;-49.9
1242.8;-49.82
1242.9;-49.74
1243.0;-49.67
1243.1;-49.59
