Wavelength (nm);Intensity (dBm)
2251.0;2251.0
1200.0;-62.1
1200.1;-62.08
1200.2;-62.06
1200.3;-62.04
1200.4;-62.02
1200.5;-62.01
1200.6;-61.99
1200.7;-61.97
1200.8;-61.95
1200.9;-61.93
1201.0;-61.9
1201.1;-61.88
1201.2;-61.86
1201.3;-61.84
1201.4;-61.82
1201.5;-61.8
1201.6;-61.78
1201.7;-61.76
1201.8;-61.73
1201.9;-61.7
1202.0;-61.68
1202.1;-61.66
1202.2;-61.63
1202.3;-61.61
1202.4;-61.59
1202.5;-61.56
1202.6;-61.54
1202.7;-61.52
1202.8;-61.49
1202.9;-61.47
1203.0;-61.45
1203.1;-61.43
1203.2;-61.41
1203.3;-61.39
1203.4;-61.36
1203.5;-61.34
1203.6;-61.32
1203.7;-61.3
1203.8;-61.28
1203.9;-61.26
1204.0;-61.24
1204.1;-61.22
1204.2;-61.2
1204.3;-61.19
1204.4;-61.17
1204.5;-61.15
1204.6;-61.14
1204.7;-61.12
1204.8;-61.1
1204.9;-61.09
1205.0;-61.08
1205.1;-61.06
1205.2;-61.05
1205.3;-61.03
1205.4;-61.01
1205.5;-61.0
1205.6;-60.98
1205.7;-60.97
1205.8;-60.96
1205.9;-60.94
1206.0;-60.92
1206.1;-60.91
1206.2;-60.89
1206.3;-60.87
1206.4;-60.86
1206.5;-60.84
1206.6;-60.83
1206.7;-60.81
1206.8;-60.8
1206.9;-60.78
1207.0;-60.76
1207.1;-60.75
1207.2;-60.73
1207.3;-60.72
1207.4;-60.71
1207.5;-60.69
1207.6;-60.68
1207.7;-60.67
1207.8;-60.65
1207.9;-60.64
1208.0;-60.63
1208.1;-60.62
1208.2;-60.61
1208.3;-60.59
1208.4;-60.58
1208.5;-60.57
1208.6;-60.55
1208.7;-60.54
1208.8;-60.52
1208.9;-60.51
1209.0;-60.49
1209.1;-60.48
1209.2;-60.47
1209.3;-60.46
1209.4;-60.45
1209.5;-60.43
1209.6;-60.42
1209.7;-60.4
1209.8;-60.39
1209.9;-60.38
1210.0;-60.36
1210.1;-60.35
1210.2;-60.33
1210.3;-60.32
1210.4;-60.31
1210.5;-60.3
1210.6;-60.29
1210.7;-60.28
1210.8;-60.27
1210.9;-60.26
1211.0;-60.26
1211.1;-60.25
1211.2;-60.24
1211.3;-60.24
1211.4;-60.23
1211.5;-60.22
1211.6;-60.22
1211.7;-60.22
1211.8;-60.21
1211.9;-60.21
1212.0;-60.2
1212.1;-60.2
1212.2;-60.19
1212.3;-60.19
1212.4;-60.19
1212.5;-60.19
1212.6;-60.19
1212.7;-60.18
1212.8;-60.18
1212.9;-60.17
1213.0;-60.16
1213.1;-60.15
1213.2;-60.14
1213.3;-60.13
1213.4;-60.11
1213.5;-60.1
1213.6;-60.08
1213.7;-60.05
1213.8;-60.03
1213.9;-60.0
1214.0;-59.97
1214.1;-59.95
1214.2;-59.92
1214.3;-59.88
1214.4;-59.85
1214.5;-59.81
1214.6;-59.77
1214.7;-59.72
1214.8;-59.68
1214.9;-59.64
1215.0;-59.59
1215.1;-59.55
1215.2;-59.5
1215.3;-59.45
1215.4;-59.41
1215.5;-59.36
1215.6;-59.31
1215.7;-59.26
1215.8;-59.21
1215.9;-59.16
1216.0;-59.12
1216.1;-59.07
1216.2;-59.02
1216.3;-58.97
1216.4;-58.92
1216.5;-58.87
1216.6;-58.83
1216.7;-58.78
1216.8;-58.74
1216.9;-58.69
1217.0;-58.65
1217.1;-58.6
1217.2;-58.56
1217.3;-58.52
1217.4;-58.47
1217.5;-58.43
1217.6;-58.39
1217.7;-58.35
1217.8;-58.31
1217.9;-58.27
1218.0;-58.23
1218.1;-58.19
1218.2;-58.15
1218.3;-58.11
1218.4;-58.08
1218.5;-58.04
1218.6;-58.0
1218.7;-57.97
1218.8;-57.93
1218.9;-57.9
1219.0;-57.87
1219.1;-57.84
1219.2;-57.81
1219.3;-57.78
1219.4;-57.76
1219.5;-57.73
1219.6;-57.71
1219.7;-57.68
1219.8;-57.66
1219.9;-57.64
1220.0;-57.62
1220.1;-57.61
1220.2;-57.59
1220.3;-57.58
1220.4;-57.56
1220.5;-57.55
1220.6;-57.54
1220.7;-57.53
1220.8;-57.52
1220.9;-57.51
1221.0;-57.5
1221.1;-57.49
1221.2;-57.48
1221.3;-57.48
1221.4;-57.47
1221.5;-57.46
1221.6;-57.46
1221.7;-57.45
1221.8;-57.44
1221.9;-57.43
1222.0;-57.43
1222.1;-57.42
1222.2;-57.41
1222.3;-57.4
1222.4;-57.39
1222.5;-57.38
1222.6;-57.37
1222.7;-57.36
1222.8;-57.35
1222.9;-57.34
1223.0;-57.33
1223.1;-57.31
1223.2;-57.3
1223.3;-57.29
1223.4;-57.27
1223.5;-57.25
1223.6;-57.24
1223.7;-57.22
1223.8;-57.21
1223.9;-57.19
1224.0;-57.18
1224.1;-57.16
1224.2;-57.14
1224.3;-57.12
1224.4;-57.11
1224.5;-57.09
1224.6;-57.07
1224.7;-57.06
1224.8;-57.04
1224.9;-57.02
1225.0;-57.0
1225.1;-56.98
1225.2;-56.96
1225.3;-56.94
1225.4;-56.92
1225.5;-56.9
1225.6;-56.88
1225.7;-56.86
1225.8;-56.84
1225.9;-56.82
1226.0;-56.79
1226.1;-56.77
1226.2;-56.74
1226.3;-56.72
1226.4;-56.69
1226.5;-56.66
1226.6;-56.63
1226.7;-56.59
1226.8;-56.56
1226.9;-56.53
1227.0;-56.49
1227.1;-56.45
1227.2;-56.42
1227.3;-56.38
1227.4;-56.34
1227.5;-56.3
1227.6;-56.25
1227.7;-56.21
1227.8;-56.17
1227.9;-56.12
1228.0;-56.08
1228.1;-56.03
1228.2;-55.99
1228.3;-55.94
1228.4;-55.89
1228.5;-55.85
1228.6;-55.8
1228.7;-55.75
1228.8;-55.7
1228.9;-55.66
1229.0;-55.61
1229.1;-55.56
1229.2;-55.52
1229.3;-55.47
1229.4;-55.43
1229.5;-55.38
1229.6;-55.34
1229.7;-55.29
1229.8;-55.25
1229.9;-55.21
1230.0;-55.17
1230.1;-55.12
1230.2;-55.08
1230.3;-55.05
