Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1563.2000;-88.6700;-22.1500;-66.5200
1563.3000;-87.3900;-22.1300;-65.2600
1563.4000;-86.6500;-22.1200;-64.5300
1563.5000;-85.9100;-22.1100;-63.8000
1563.6000;-85.8500;-22.0900;-63.7600
1563.7000;-86.7700;-22.0800;-64.6900
1563.8000;-87.5100;-22.0700;-65.4400
1563.9000;-88.3700;-22.0600;-66.3100
1564.0000;-89.6400;-22.0400;-67.6000
1564.1000;-89.6900;-22.0300;-67.6600
1564.2000;-89.8400;-22.0200;-67.8200
1564.3000;-89.0200;-22.0100;-67.0100
1564.4000;-88.0600;-21.9900;-66.0700
1564.5000;-87.6300;-21.9800;-65.6500
1564.6000;-86.8400;-21.9700;-64.8700
1564.7000;-85.3800;-21.9500;-63.4300
1564.8000;-84.2100;-21.9400;-62.2700
1564.9000;-83.7800;-21.9300;-61.8500
1565.0000;-84.1200;-21.9200;-62.2000
1565.1000;-84.8400;-21.9000;-62.9400
1565.2000;-85.1300;-21.8900;-63.2400
1565.3000;-85.5400;-21.8800;-63.6600
1565.4000;-85.9300;-21.8700;-64.0600
1565.5000;-85.8400;-21.8600;-63.9800
1565.6000;-86.1700;-21.8400;-64.3300
1565.7000;-87.0400;-21.8300;-65.2100
1565.8000;-87.6800;-21.8200;-65.8600
1565.9000;-87.6600;-21.8100;-65.8500
1566.0000;-87.0700;-21.7900;-65.2800
1566.1000;-86.2300;-21.7800;-64.4500
1566.2000;-85.5000;-21.7700;-63.7300
1566.3000;-85.2900;-21.7600;-63.5300
1566.4000;-85.1200;-21.7400;-63.3800
1566.5000;-84.8700;-21.7300;-63.1400
1566.6000;-84.7400;-21.7200;-63.0200
1566.7000;-84.8200;-21.7100;-63.1100
1566.8000;-85.5900;-21.7000;-63.8900
1566.9000;-86.7400;-21.6900;-65.0500
1567.0000;-86.9100;-21.6700;-65.2400
1567.1000;-86.5100;-21.6600;-64.8500
1567.2000;-86.4400;-21.6500;-64.7900
1567.3000;-86.2100;-21.6400;-64.5700
1567.4000;-86.1600;-21.6300;-64.5300
1567.5000;-86.4700;-21.6200;-64.8500
1567.6000;-86.3000;-21.6000;-64.7000
1567.7000;-85.7700;-21.5900;-64.1800
1567.8000;-85.3700;-21.5800;-63.7900
1567.9000;-84.8400;-21.5700;-63.2700
1568.0000;-84.6000;-21.5600;-63.0400
1568.1000;-85.1100;-21.5500;-63.5600
1568.2000;-85.8400;-21.5400;-64.3000
1568.3000;-86.2700;-21.5300;-64.7400
1568.4000;-86.4800;-21.5100;-64.9700
1568.5000;-86.4200;-21.5000;-64.9200
1568.6000;-86.2200;-21.4900;-64.7300
1568.7000;-86.9300;-21.4800;-65.4500
1568.8000;-87.1800;-21.4700;-65.7100
1568.9000;-86.5300;-21.4600;-65.0700
1569.0000;-86.6900;-21.4500;-65.2400
1569.1000;-86.3000;-21.4400;-64.8600
1569.2000;-85.6600;-21.4300;-64.2300
1569.3000;-85.4900;-21.4200;-64.0700
1569.4000;-85.2200;-21.4100;-63.8100
1569.5000;-85.0700;-21.4000;-63.6700
1569.6000;-85.2200;-21.3900;-63.8300
1569.7000;-84.7800;-21.3800;-63.4000
1569.8000;-84.7700;-21.3700;-63.4000
1569.9000;-85.9100;-21.3600;-64.5500
1570.0000;-86.5900;-21.3500;-65.2400
1570.1000;-87.1800;-21.3400;-65.8400
1570.2000;-88.3400;-21.3300;-67.0100
1570.3000;-88.7100;-21.3200;-67.3900
1570.4000;-89.1400;-21.3100;-67.8300
1570.5000;-91.0200;-21.3000;-69.7200
1570.6000;-93.7500;-21.2900;-72.4600
1570.7000;-94.8800;-21.2800;-73.6000
1570.8000;-92.0300;-21.2700;-70.7600
1570.9000;-89.4300;-21.2600;-68.1700
1571.0000;-89.3200;-21.2500;-68.0700
1571.1000;-89.9900;-21.2400;-68.7500
1571.2000;-89.0500;-21.2300;-67.8200
1571.3000;-88.1200;-21.2300;-66.8900
1571.4000;-87.7900;-21.2200;-66.5700
1571.5000;-86.6700;-21.2100;-65.4600
1571.6000;-85.3900;-21.2000;-64.1900
1571.7000;-85.1100;-21.1900;-63.9200
1571.8000;-85.3800;-21.1800;-64.2000
1571.9000;-85.0900;-21.1700;-63.9200
1572.0000;-84.2000;-21.1600;-63.0400
1572.1000;-83.6500;-21.1500;-62.5000
1572.2000;-83.5900;-21.1400;-62.4500
1572.3000;-83.5700;-21.1300;-62.4400
1572.4000;-83.6900;-21.1200;-62.5700
1572.5000;-84.3900;-21.1100;-63.2800
1572.6000;-85.6500;-21.1000;-64.5500
1572.7000;-86.6500;-21.0900;-65.5600
1572.8000;-87.2400;-21.0800;-66.1600
1572.9000;-88.3000;-21.0700;-67.2300
1573.0000;-89.2900;-21.0600;-68.2300
1573.1000;-90.0500;-21.0500;-69.0000
1573.2000;-91.9500;-21.0400;-70.9100
1573.3000;-98.6100;-21.0300;-77.5800
1573.4000;-94.0000;-21.0200;-72.9800
1573.5000;-88.5500;-21.0200;-67.5300
1573.6000;-87.2700;-21.0100;-66.2600
1573.7000;-86.9600;-21.0000;-65.9600
1573.8000;-86.4300;-20.9900;-65.4400
1573.9000;-85.5700;-20.9800;-64.5900
1574.0000;-84.9600;-20.9700;-63.9900
1574.1000;-84.7200;-20.9600;-63.7600
1574.2000;-84.8000;-20.9500;-63.8500
1574.3000;-84.9000;-20.9500;-63.9500
1574.4000;-85.3400;-20.9400;-64.4000
1574.5000;-86.1700;-20.9300;-65.2400
1574.6000;-86.0000;-20.9300;-65.0700
1574.7000;-85.3800;-20.9200;-64.4600
1574.8000;-85.1500;-20.9100;-64.2400
1574.9000;-85.4600;-20.9000;-64.5600
1575.0000;-85.8400;-20.9000;-64.9400
1575.1000;-85.6000;-20.8900;-64.7100
1575.2000;-84.8700;-20.8800;-63.9900
1575.3000;-84.4900;-20.8700;-63.6200
1575.4000;-84.6500;-20.8700;-63.7800
1575.5000;-85.0200;-20.8600;-64.1600
1575.6000;-84.9600;-20.8500;-64.1100
1575.7000;-85.1000;-20.8400;-64.2600
1575.8000;-85.5000;-20.8300;-64.6700
1575.9000;-85.4600;-20.8300;-64.6300
1576.0000;-85.8000;-20.8200;-64.9800
1576.1000;-85.8400;-20.8100;-65.0300
1576.2000;-85.3000;-20.8100;-64.4900
1576.3000;-84.9400;-20.8000;-64.1400
1576.4000;-85.0400;-20.8000;-64.2400
1576.5000;-84.5700;-20.7900;-63.7800
1576.6000;-84.2300;-20.7800;-63.4500
1576.7000;-84.1600;-20.7800;-63.3800
1576.8000;-83.9800;-20.7700;-63.2100
1576.9000;-84.2900;-20.7600;-63.5300
1577.0000;-84.5600;-20.7600;-63.8000
1577.1000;-84.9600;-20.7500;-64.2100
1577.2000;-85.6500;-20.7500;-64.9000
1577.3000;-86.0300;-20.7400;-65.2900
1577.4000;-85.5600;-20.7300;-64.8300
1577.5000;-85.5900;-20.7300;-64.8600
1577.6000;-86.2600;-20.7200;-65.5400
1577.7000;-87.0300;-20.7100;-66.3200
1577.8000;-86.8600;-20.7100;-66.1500
1577.9000;-85.8200;-20.7000;-65.1200
1578.0000;-85.4800;-20.7000;-64.7800
1578.1000;-85.4300;-20.6900;-64.7400
1578.2000;-85.3500;-20.6800;-64.6700
1578.3000;-85.0900;-20.6800;-64.4100
1578.4000;-85.0600;-20.6700;-64.3900
1578.5000;-85.4400;-20.6700;-64.7700
1578.6000;-85.5700;-20.6600;-64.9100
1578.7000;-85.0600;-20.6600;-64.4000
1578.8000;-84.9400;-20.6500;-64.2900
1578.9000;-85.1800;-20.6500;-64.5300
1579.0000;-85.2500;-20.6500;-64.6000
1579.1000;-85.5200;-20.6400;-64.8800
1579.2000;-85.4900;-20.6400;-64.8500
1579.3000;-85.9000;-20.6300;-65.2700
1579.4000;-86.9500;-20.6200;-66.3300
1579.5000;-87.1000;-20.6100;-66.4900
