Wavelength (nm);Intensity (dBm)
1131.0;1131.0
1200.0;-60.9
1200.199;-60.93
1200.398;-60.95
1200.597;-60.95
1200.797;-60.91
1200.996;-60.94
1201.195;-60.96
1201.394;-60.96
1201.593;-60.95
1201.792;-60.9
1201.991;-60.92
1202.19;-60.91
1202.389;-60.88
1202.589;-60.86
1202.788;-60.8
1202.987;-60.83
1203.186;-60.77
1203.385;-60.7
1203.584;-60.68
1203.783;-60.69
1203.982;-60.72
1204.181;-60.66
1204.381;-60.6
1204.58;-60.6
1204.779;-60.62
1204.978;-60.6
1205.177;-60.53
1205.376;-60.47
1205.575;-60.5
1205.774;-60.45
1205.974;-60.39
1206.173;-60.31
1206.372;-60.27
1206.571;-60.25
1206.77;-60.14
1206.969;-60.03
1207.168;-59.96
1207.367;-59.92
1207.566;-59.87
1207.766;-59.73
1207.965;-59.7
1208.164;-59.68
1208.363;-59.59
1208.562;-59.55
1208.761;-59.48
1208.96;-59.46
1209.159;-59.43
1209.358;-59.35
1209.558;-59.32
1209.757;-59.27
1209.956;-59.25
1210.155;-59.21
1210.354;-59.17
1210.553;-59.18
1210.752;-59.16
1210.951;-59.12
1211.15;-59.1
1211.35;-59.08
1211.549;-59.13
1211.748;-59.12
1211.947;-59.12
1212.146;-59.13
1212.345;-59.18
1212.544;-59.22
1212.743;-59.21
1212.943;-59.25
1213.142;-59.28
1213.341;-59.3
1213.54;-59.31
1213.739;-59.24
1213.938;-59.24
1214.137;-59.22
1214.336;-59.16
1214.535;-59.07
1214.735;-59.01
1214.934;-58.94
1215.133;-58.83
1215.332;-58.69
1215.531;-58.61
1215.73;-58.51
1215.929;-58.38
1216.128;-58.26
1216.327;-58.15
1216.527;-58.06
1216.726;-57.94
1216.925;-57.82
1217.124;-57.7
1217.323;-57.61
1217.522;-57.54
1217.721;-57.4
1217.92;-57.3
1218.12;-57.24
1218.319;-57.17
1218.518;-57.1
1218.717;-57.02
1218.916;-57.0
1219.115;-56.96
1219.314;-56.92
1219.513;-56.92
1219.712;-56.92
1219.912;-56.94
1220.111;-56.94
1220.31;-56.95
1220.509;-57.0
1220.708;-57.03
1220.907;-57.07
1221.106;-57.07
1221.305;-57.1
1221.504;-57.15
1221.704;-57.14
1221.903;-57.12
1222.102;-57.11
1222.301;-57.08
1222.5;-57.06
1222.699;-56.98
1222.898;-56.93
1223.097;-56.87
1223.297;-56.79
1223.496;-56.69
1223.695;-56.58
1223.894;-56.49
1224.093;-56.38
1224.292;-56.24
1224.491;-56.12
1224.69;-56.0
1224.889;-55.86
1225.089;-55.66
1225.288;-55.56
1225.487;-55.42
1225.686;-55.28
1225.885;-55.16
1226.084;-55.01
1226.283;-54.9
1226.482;-54.78
1226.681;-54.67
1226.881;-54.59
1227.08;-54.5
1227.279;-54.42
1227.478;-54.35
1227.677;-54.3
1227.876;-54.28
1228.075;-54.23
1228.274;-54.22
1228.474;-54.21
1228.673;-54.21
1228.872;-54.23
1229.071;-54.21
1229.27;-54.23
1229.469;-54.25
1229.668;-54.27
1229.867;-54.29
1230.066;-54.31
1230.266;-54.34
1230.465;-54.36
1230.664;-54.37
1230.863;-54.43
1231.062;-54.45
1231.261;-54.47
1231.46;-54.49
1231.659;-54.49
1231.858;-54.5
1232.058;-54.47
1232.257;-54.43
1232.456;-54.4
1232.655;-54.32
1232.854;-54.22
1233.053;-54.11
1233.252;-53.99
1233.451;-53.85
1233.65;-53.69
1233.85;-53.53
1234.049;-53.37
1234.248;-53.19
1234.447;-53.03
1234.646;-52.86
1234.845;-52.72
1235.044;-52.55
1235.243;-52.41
1235.443;-52.28
1235.642;-52.15
1235.841;-52.03
1236.04;-51.92
1236.239;-51.82
1236.438;-51.73
1236.637;-51.64
1236.836;-51.58
1237.035;-51.51
1237.235;-51.45
1237.434;-51.4
1237.633;-51.36
1237.832;-51.35
1238.031;-51.3
1238.23;-51.29
1238.429;-51.27
1238.628;-51.25
1238.827;-51.25
1239.027;-51.23
1239.226;-51.21
1239.425;-51.17
1239.624;-51.13
1239.823;-51.1
1240.022;-51.03
1240.221;-50.96
1240.42;-50.87
1240.62;-50.78
1240.819;-50.68
1241.018;-50.54
1241.217;-50.43
1241.416;-50.3
1241.615;-50.16
1241.814;-50.05
1242.013;-49.93
1242.212;-49.83
1242.412;-49.72
1242.611;-49.62
1242.81;-49.57
1243.009;-49.48
1243.208;-49.44
1243.407;-49.4
1243.606;-49.36
1243.805;-49.35
1244.004;-49.32
1244.204;-49.33
1244.403;-49.32
1244.602;-49.3
1244.801;-49.3
1245.0;-49.28
1245.199;-49.26
1245.398;-49.2
