Wavelength (nm);Intensity (dBm)
1131.0;1131.0
1200.0;-60.54
1200.199;-60.48
1200.398;-60.43
1200.597;-60.43
1200.797;-60.36
1200.996;-60.29
1201.195;-60.24
1201.394;-60.22
1201.593;-60.22
1201.792;-60.15
1201.991;-60.06
1202.19;-60.09
1202.389;-60.08
1202.589;-60.03
1202.788;-59.95
1202.987;-59.93
1203.186;-59.95
1203.385;-59.89
1203.584;-59.84
1203.783;-59.8
1203.982;-59.84
1204.181;-59.82
1204.381;-59.77
1204.58;-59.75
1204.779;-59.79
1204.978;-59.82
1205.177;-59.81
1205.376;-59.8
1205.575;-59.84
1205.774;-59.87
1205.974;-59.86
1206.173;-59.83
1206.372;-59.83
1206.571;-59.88
1206.77;-59.84
1206.969;-59.75
1207.168;-59.73
1207.367;-59.74
1207.566;-59.7
1207.766;-59.57
1207.965;-59.5
1208.164;-59.51
1208.363;-59.45
1208.562;-59.33
1208.761;-59.26
1208.96;-59.22
1209.159;-59.16
1209.358;-59.07
1209.558;-58.96
1209.757;-58.93
1209.956;-58.89
1210.155;-58.82
1210.354;-58.7
1210.553;-58.64
1210.752;-58.65
1210.951;-58.6
1211.15;-58.48
1211.35;-58.42
1211.549;-58.44
1211.748;-58.43
1211.947;-58.33
1212.146;-58.3
1212.345;-58.34
1212.544;-58.35
1212.743;-58.3
1212.943;-58.28
1213.142;-58.33
1213.341;-58.34
1213.54;-58.32
1213.739;-58.3
1213.938;-58.34
1214.137;-58.38
1214.336;-58.31
1214.535;-58.24
1214.735;-58.26
1214.934;-58.27
1215.133;-58.21
1215.332;-58.09
1215.531;-58.06
1215.73;-58.05
1215.929;-57.94
1216.128;-57.83
1216.327;-57.73
1216.527;-57.69
1216.726;-57.61
1216.925;-57.46
1217.124;-57.34
1217.323;-57.28
1217.522;-57.18
1217.721;-57.03
1217.92;-56.9
1218.12;-56.85
1218.319;-56.75
1218.518;-56.61
1218.717;-56.5
1218.916;-56.46
1219.115;-56.42
1219.314;-56.3
1219.513;-56.24
1219.712;-56.24
1219.912;-56.23
1220.111;-56.18
1220.31;-56.13
1220.509;-56.16
1220.708;-56.21
1220.907;-56.19
1221.106;-56.18
1221.305;-56.23
1221.504;-56.28
1221.704;-56.3
1221.903;-56.3
1222.102;-56.35
1222.301;-56.41
1222.5;-56.41
1222.699;-56.42
1222.898;-56.44
1223.097;-56.49
1223.297;-56.48
1223.496;-56.44
1223.695;-56.45
1223.894;-56.46
1224.093;-56.43
1224.292;-56.34
1224.491;-56.3
1224.69;-56.27
1224.889;-56.16
1225.089;-56.05
1225.288;-55.93
1225.487;-55.81
1225.686;-55.67
1225.885;-55.49
1226.084;-55.35
1226.283;-55.22
1226.482;-55.04
1226.681;-54.84
1226.881;-54.69
1227.08;-54.56
1227.279;-54.38
1227.478;-54.22
1227.677;-54.09
1227.876;-53.99
1228.075;-53.87
1228.274;-53.73
1228.474;-53.65
1228.673;-53.59
1228.872;-53.5
1229.071;-53.42
1229.27;-53.37
1229.469;-53.35
1229.668;-53.3
1229.867;-53.25
1230.066;-53.26
1230.266;-53.25
1230.465;-53.23
1230.664;-53.23
1230.863;-53.27
1231.062;-53.32
1231.261;-53.33
1231.46;-53.36
1231.659;-53.43
1231.858;-53.47
1232.058;-53.49
1232.257;-53.5
1232.456;-53.55
1232.655;-53.56
1232.854;-53.53
1233.053;-53.52
1233.252;-53.49
1233.451;-53.42
1233.65;-53.32
1233.85;-53.22
1234.049;-53.16
1234.248;-53.0
1234.447;-52.84
1234.646;-52.71
1234.845;-52.58
1235.044;-52.42
1235.243;-52.25
1235.443;-52.11
1235.642;-51.97
1235.841;-51.8
1236.04;-51.67
1236.239;-51.54
1236.438;-51.42
1236.637;-51.29
1236.836;-51.17
1237.035;-51.11
1237.235;-51.0
1237.434;-50.91
1237.633;-50.84
1237.832;-50.81
1238.031;-50.75
1238.23;-50.7
1238.429;-50.68
1238.628;-50.66
1238.827;-50.62
1239.027;-50.61
1239.226;-50.59
1239.425;-50.58
1239.624;-50.53
1239.823;-50.48
1240.022;-50.46
1240.221;-50.38
1240.42;-50.28
1240.62;-50.18
1240.819;-50.07
1241.018;-49.92
1241.217;-49.74
1241.416;-49.59
1241.615;-49.4
1241.814;-49.2
1242.013;-49.01
1242.212;-48.83
1242.412;-48.66
1242.611;-48.45
1242.81;-48.29
1243.009;-48.14
1243.208;-48.0
1243.407;-47.88
1243.606;-47.76
1243.805;-47.69
1244.004;-47.61
1244.204;-47.56
1244.403;-47.55
1244.602;-47.53
1244.801;-47.54
1245.0;-47.57
1245.199;-47.63
1245.398;-47.71
1245.597;-47.78
1245.797;-47.89
1245.996;-47.99
1246.195;-48.1
1246.394;-48.22
1246.593;-48.31
1246.792;-48.39
1246.991;-48.43
1247.19;-48.43
1247.389;-48.39
1247.589;-48.25
1247.788;-48.06
1247.987;-47.8
1248.186;-47.47
1248.385;-47.1
1248.584;-46.65
1248.783;-46.2
1248.982;-45.64
1249.181;-45.25
1249.381;-44.78
1249.58;-44.3
1249.779;-43.85
1249.978;-43.39
1250.177;-42.98
1250.376;-42.59
1250.575;-42.2
1250.774;-41.87
1250.974;-41.55
1251.173;-41.26
1251.372;-40.99
1251.571;-40.76
1251.77;-40.57
1251.969;-40.37
1252.168;-40.22
1252.367;-40.09
1252.566;-40.0
1252.766;-39.95
1252.965;-39.91
1253.164;-39.9
1253.363;-39.92
1253.562;-39.97
1253.761;-40.05
1253.96;-40.15
1254.159;-40.28
1254.358;-40.41
1254.558;-40.56
1254.757;-40.73
1254.956;-40.87
1255.155;-41.02
1255.354;-41.11
1255.553;-41.17
1255.752;-41.17
1255.951;-41.09
1256.15;-40.95
1256.35;-40.7
1256.549;-40.4
1256.748;-40.03
1256.947;-39.6
1257.146;-39.14
1257.345;-38.64
1257.544;-38.15
1257.743;-37.65
1257.943;-37.13
1258.142;-36.67
1258.341;-36.18
1258.54;-35.68
1258.739;-35.32
1258.938;-34.92
1259.137;-34.56
1259.336;-34.21
1259.535;-33.92
1259.735;-33.63
1259.934;-33.38
1260.133;-33.17
1260.332;-32.97
1260.531;-32.84
1260.73;-32.71
1260.929;-32.62
1261.128;-32.57
1261.327;-32.55
1261.527;-32.59
1261.726;-32.64
1261.925;-32.74
1262.124;-32.87
1262.323;-33.05
1262.522;-33.29
1262.721;-33.55
1262.92;-33.86
1263.12;-34.23
1263.319;-34.64
1263.518;-35.13
1263.717;-35.65
1263.916;-36.22
1264.115;-36.82
1264.314;-37.45
1264.513;-38.2
1264.712;-38.64
1264.912;-39.05
1265.111;-39.22
1265.31;-39.12
1265.509;-38.73
1265.708;-38.11
1265.907;-37.36
1266.106;-36.52
1266.305;-35.54
1266.504;-34.85
1266.704;-34.08
1266.903;-33.34
1267.102;-32.67
1267.301;-32.06
1267.5;-31.5
1267.699;-30.99
1267.898;-30.52
1268.097;-30.1
1268.297;-29.74
1268.496;-29.41
1268.695;-29.12
1268.894;-28.87
1269.093;-28.65
1269.292;-28.49
1269.491;-28.36
1269.69;-28.27
1269.889;-28.2
1270.089;-28.18
1270.288;-28.21
1270.487;-28.26
1270.686;-28.37
1270.885;-28.51
1271.084;-28.68
1271.283;-28.92
1271.482;-29.17
1271.681;-29.49
1271.881;-29.83
1272.08;-30.2
1272.279;-30.62
1272.478;-31.05
1272.677;-31.49
1272.876;-31.9
1273.075;-32.28
1273.274;-32.59
1273.474;-32.77
1273.673;-32.84
1273.872;-32.73
1274.071;-32.47
1274.27;-32.09
1274.469;-31.6
1274.668;-31.06
1274.867;-30.46
1275.066;-29.88
1275.266;-29.3
1275.465;-28.73
1275.664;-28.22
1275.863;-27.71
1276.062;-27.27
1276.261;-26.85
1276.46;-26.47
1276.659;-26.14
1276.858;-25.8
1277.058;-25.61
1277.257;-25.39
1277.456;-25.23
1277.655;-25.1
1277.854;-25.0
1278.053;-24.96
1278.252;-24.94
1278.451;-24.96
1278.65;-25.01
1278.85;-25.1
1279.049;-25.24
1279.248;-25.39
1279.447;-25.6
1279.646;-25.81
1279.845;-26.06
1280.044;-26.34
1280.243;-26.63
1280.443;-26.93
1280.642;-27.18
1280.841;-27.42
1281.04;-27.61
1281.239;-27.69
1281.438;-27.69
1281.637;-27.53
1281.836;-27.28
1282.035;-26.9
1282.235;-26.44
1282.434;-25.92
1282.633;-25.36
1282.832;-24.78
1283.031;-24.2
1283.23;-23.62
1283.429;-23.08
1283.628;-22.55
1283.827;-22.06
1284.027;-21.59
1284.226;-21.16
