Filename,N_ext,DGD_ps,PMD_Coeff,Delta_dB
1.csv,24,0.7204,4.1590,0.64
10.csv,28,0.8404,4.8522,0.78
100.csv,25,0.7504,4.3323,1.08
11.csv,30,0.9005,5.1988,0.32
12.csv,25,0.7504,4.3323,1.19
13.csv,28,0.8404,4.8522,0.76
14.csv,30,0.9005,5.1988,0.38
15.csv,26,0.7804,4.5056,0.81
16.csv,26,0.7804,4.5056,0.52
17.csv,27,0.8104,4.6789,0.44
18.csv,26,0.7804,4.5056,1.18
19.csv,26,0.7804,4.5056,1.22
2.csv,27,0.8104,4.6789,0.89
20.csv,28,0.8404,4.8522,0.25
21.csv,30,0.9005,5.1988,0.25
22.csv,24,0.7204,4.1590,0.81
23.csv,26,0.7804,4.5056,0.77
24.csv,26,0.7804,4.5056,0.32
25.csv,30,0.9005,5.1988,0.25
26.csv,28,0.8404,4.8522,0.35
27.csv,26,0.7804,4.5056,0.36
28.csv,30,0.9005,5.1988,0.45
29.csv,28,0.8404,4.8522,0.64
3.csv,25,0.7504,4.3323,0.52
30.csv,24,0.7204,4.1590,0.65
31.csv,29,0.8704,5.0255,0.36
32.csv,28,0.8404,4.8522,0.29
33.csv,28,0.8404,4.8522,0.36
34.csv,26,0.7804,4.5056,0.74
35.csv,26,0.7804,4.5056,0.64
36.csv,24,0.7204,4.1590,0.84
37.csv,23,0.6904,3.9857,1.21
38.csv,27,0.8104,4.6789,1.15
39.csv,30,0.9005,5.1988,0.39
4.csv,27,0.8104,4.6789,0.35
40.csv,30,0.9005,5.1988,0.29
41.csv,30,0.9005,5.1988,0.38
42.csv,28,0.8404,4.8522,0.49
43.csv,28,0.8404,4.8522,0.64
44.csv,27,0.8104,4.6789,0.78
45.csv,28,0.8404,4.8522,0.51
46.csv,28,0.8404,4.8522,0.58
47.csv,28,0.8404,4.8522,0.41
48.csv,28,0.8404,4.8522,1.08
49.csv,30,0.9005,5.1988,0.26
5.csv,24,0.7204,4.1590,0.92
50.csv,28,0.8404,4.8522,0.67
51.csv,29,0.8704,5.0255,0.29
52.csv,26,0.7804,4.5056,0.83
53.csv,27,0.8104,4.6789,0.86
54.csv,24,0.7204,4.1590,1.03
55.csv,28,0.8404,4.8522,0.67
56.csv,28,0.8404,4.8522,1.22
57.csv,26,0.7804,4.5056,0.57
58.csv,32,0.9605,5.5454,0.29
59.csv,26,0.7804,4.5056,0.61
6.csv,27,0.8104,4.6789,0.32
60.csv,24,0.7204,4.1590,0.95
61.csv,28,0.8404,4.8522,0.70
62.csv,27,0.8104,4.6789,0.78
63.csv,26,0.7804,4.5056,1.16
64.csv,24,0.7204,4.1590,1.21
65.csv,26,0.7804,4.5056,0.81
66.csv,30,0.9005,5.1988,0.49
67.csv,26,0.7804,4.5056,0.44
68.csv,24,0.7204,4.1590,0.80
69.csv,24,0.7204,4.1590,1.09
7.csv,28,0.8404,4.8522,0.44
70.csv,32,0.9605,5.5454,0.29
71.csv,26,0.7804,4.5056,0.87
72.csv,28,0.8404,4.8522,0.36
73.csv,28,0.8404,4.8522,0.68
74.csv,28,0.8404,4.8522,0.80
75.csv,26,0.7804,4.5056,0.93
76.csv,27,0.8104,4.6789,0.97
77.csv,25,0.7504,4.3323,1.28
78.csv,30,0.9005,5.1988,0.30
79.csv,24,0.7204,4.1590,1.06
8.csv,32,0.9605,5.5454,0.39
80.csv,30,0.9005,5.1988,0.35
81.csv,29,0.8704,5.0255,0.30
82.csv,26,0.7804,4.5056,1.28
83.csv,24,0.7204,4.1590,1.09
84.csv,29,0.8704,5.0255,0.32
85.csv,25,0.7504,4.3323,1.40
86.csv,30,0.9005,5.1988,0.45
87.csv,26,0.7804,4.5056,0.42
88.csv,30,0.9005,5.1988,0.25
89.csv,32,0.9605,5.5454,0.30
9.csv,26,0.7804,4.5056,0.49
90.csv,28,0.8404,4.8522,0.49
91.csv,28,0.8404,4.8522,0.86
92.csv,26,0.7804,4.5056,0.30
93.csv,26,0.7804,4.5056,0.61
94.csv,27,0.8104,4.6789,0.60
95.csv,30,0.9005,5.1988,0.38
96.csv,28,0.8404,4.8522,0.48
97.csv,30,0.9005,5.1988,0.36
98.csv,30,0.9005,5.1988,0.45
99.csv,26,0.7804,4.5056,0.65
