Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1200.0000;-62.0200;-57.0700;-4.9500
1200.1990;-61.9900;-57.0400;-4.9500
1200.3980;-61.9200;-57.0000;-4.9200
1200.5970;-61.8400;-56.9900;-4.8500
1200.7970;-61.7900;-56.9700;-4.8200
1200.9960;-61.7500;-56.9200;-4.8300
1201.1950;-61.6800;-56.8900;-4.7900
1201.3940;-61.6000;-56.8600;-4.7400
1201.5930;-61.5100;-56.8100;-4.7000
1201.7920;-61.5300;-56.7700;-4.7600
1201.9910;-61.5100;-56.7100;-4.8000
1202.1900;-61.4200;-56.6600;-4.7600
1202.3890;-61.3600;-56.6200;-4.7400
1202.5890;-61.3100;-56.5700;-4.7400
1202.7880;-61.2900;-56.5200;-4.7700
1202.9870;-61.2800;-56.4600;-4.8200
1203.1860;-61.2000;-56.4100;-4.7900
1203.3850;-61.1500;-56.3700;-4.7800
1203.5840;-61.1600;-56.3200;-4.8400
1203.7830;-61.1600;-56.2800;-4.8800
1203.9820;-61.1400;-56.2400;-4.9000
1204.1810;-61.0800;-56.1900;-4.8900
1204.3810;-61.1100;-56.1700;-4.9400
1204.5800;-61.1100;-56.1300;-4.9800
1204.7790;-61.0600;-56.0900;-4.9700
1204.9780;-61.1000;-56.0600;-5.0400
1205.1770;-61.1100;-56.0400;-5.0700
1205.3760;-61.1300;-56.0100;-5.1200
1205.5750;-61.1600;-55.9900;-5.1700
1205.7740;-61.1900;-55.9800;-5.2100
1205.9740;-61.2200;-55.9500;-5.2700
1206.1730;-61.2800;-55.9400;-5.3400
1206.3720;-61.3200;-55.9300;-5.3900
1206.5710;-61.3000;-55.9100;-5.3900
1206.7700;-61.2700;-55.8800;-5.3900
1206.9690;-61.2900;-55.8600;-5.4300
1207.1680;-61.2900;-55.8300;-5.4600
1207.3670;-61.2400;-55.8100;-5.4300
1207.5660;-61.2100;-55.7800;-5.4300
1207.7660;-61.1200;-55.7500;-5.3700
1207.9650;-61.1100;-55.7100;-5.4000
1208.1640;-61.0000;-55.6800;-5.3200
1208.3630;-60.9100;-55.6600;-5.2500
1208.5620;-60.8100;-55.6000;-5.2100
1208.7610;-60.7400;-55.5600;-5.1800
1208.9600;-60.6700;-55.5100;-5.1600
1209.1590;-60.5300;-55.4500;-5.0800
1209.3580;-60.4300;-55.4100;-5.0200
1209.5580;-60.3800;-55.3600;-5.0200
1209.7570;-60.2800;-55.3100;-4.9700
1209.9560;-60.2000;-55.2600;-4.9400
1210.1550;-60.1100;-55.2100;-4.9000
1210.3540;-60.0100;-55.1800;-4.8300
1210.5530;-59.9600;-55.1100;-4.8500
1210.7520;-59.9100;-55.0700;-4.8400
1210.9510;-59.8400;-55.0300;-4.8100
1211.1500;-59.7800;-54.9800;-4.8000
1211.3500;-59.7800;-54.9500;-4.8300
1211.5490;-59.7800;-54.9100;-4.8700
1211.7480;-59.7200;-54.8700;-4.8500
1211.9470;-59.7300;-54.8400;-4.8900
1212.1460;-59.7600;-54.8100;-4.9500
1212.3450;-59.8100;-54.7800;-5.0300
1212.5440;-59.8500;-54.7600;-5.0900
1212.7430;-59.8400;-54.7400;-5.1000
1212.9430;-59.9100;-54.7100;-5.2000
1213.1420;-59.9800;-54.6700;-5.3100
1213.3410;-59.9900;-54.6500;-5.3400
1213.5400;-60.0200;-54.6200;-5.4000
1213.7390;-60.0700;-54.6000;-5.4700
1213.9380;-60.1200;-54.5600;-5.5600
1214.1370;-60.0900;-54.5300;-5.5600
1214.3360;-60.0600;-54.5100;-5.5500
1214.5350;-60.0800;-54.4600;-5.6200
1214.7350;-60.0400;-54.4300;-5.6100
1214.9340;-59.9900;-54.3900;-5.6000
1215.1330;-59.9100;-54.3400;-5.5700
1215.3320;-59.8400;-54.3000;-5.5400
1215.5310;-59.8000;-54.2500;-5.5500
1215.7300;-59.7100;-54.2000;-5.5100
1215.9290;-59.6000;-54.1500;-5.4500
1216.1280;-59.4800;-54.1000;-5.3800
1216.3270;-59.4000;-54.0400;-5.3600
