Length,PMD_Value,Error
10m,1.7500420000000003,0.24209261195591317
10m_1550nm,2.6488319999999987,0.2970414822848481
20m,2.128470707070707,0.28803006867287145
20m_1550nm,3.40524,0.4729269529518093
30m,3.1101330000000003,0.09207662603297406
30m_1550nm,4.73089,0.3698871434490375
10+20m,1.2575291666666668,0.26557369793540864
