Filename,N_ext,DGD_ps,PMD_Coeff,Delta_dB
1.csv,10,0.1527,1.5271,0.92
10.csv,11,0.1680,1.6798,0.29
100.csv,12,0.1832,1.8325,1.56
11.csv,9,0.1374,1.3744,0.35
12.csv,9,0.1374,1.3744,0.86
13.csv,8,0.1222,1.2217,0.76
14.csv,13,0.1985,1.9852,0.76
15.csv,12,0.1832,1.8325,1.41
16.csv,8,0.1222,1.2217,0.68
17.csv,12,0.1832,1.8325,0.46
18.csv,13,0.1985,1.9852,1.19
19.csv,12,0.1832,1.8325,0.36
2.csv,12,0.1832,1.8325,1.56
20.csv,10,0.1527,1.5271,0.41
21.csv,13,0.1985,1.9852,0.51
22.csv,8,0.1222,1.2217,0.45
23.csv,8,0.1222,1.2217,0.32
24.csv,12,0.1832,1.8325,1.56
25.csv,13,0.1985,1.9852,0.44
26.csv,12,0.1832,1.8325,1.56
27.csv,10,0.1527,1.5271,0.29
28.csv,13,0.1985,1.9852,0.30
29.csv,12,0.1832,1.8325,1.53
3.csv,10,0.1527,1.5271,1.16
30.csv,13,0.1985,1.9852,0.65
31.csv,13,0.1985,1.9852,0.67
32.csv,10,0.1527,1.5271,0.32
33.csv,12,0.1832,1.8325,1.56
34.csv,12,0.1832,1.8325,1.56
35.csv,12,0.1832,1.8325,1.54
36.csv,12,0.1832,1.8325,0.89
37.csv,11,0.1680,1.6798,0.80
38.csv,12,0.1832,1.8325,1.27
39.csv,13,0.1985,1.9852,0.30
4.csv,13,0.1985,1.9852,0.52
40.csv,12,0.1832,1.8325,0.52
41.csv,12,0.1832,1.8325,1.56
42.csv,13,0.1985,1.9852,0.49
43.csv,12,0.1832,1.8325,1.12
44.csv,9,0.1374,1.3744,0.49
45.csv,12,0.1832,1.8325,1.56
46.csv,12,0.1832,1.8325,1.47
47.csv,12,0.1832,1.8325,1.56
48.csv,8,0.1222,1.2217,0.54
49.csv,9,0.1374,1.3744,0.97
5.csv,13,0.1985,1.9852,0.89
50.csv,13,0.1985,1.9852,0.29
51.csv,12,0.1832,1.8325,1.56
52.csv,12,0.1832,1.8325,1.00
53.csv,12,0.1832,1.8325,0.96
54.csv,10,0.1527,1.5271,0.41
55.csv,13,0.1985,1.9852,0.48
56.csv,13,0.1985,1.9852,0.49
57.csv,8,0.1222,1.2217,0.73
58.csv,11,0.1680,1.6798,0.97
59.csv,13,0.1985,1.9852,0.29
6.csv,8,0.1222,1.2217,1.69
60.csv,13,0.1985,1.9852,0.60
61.csv,12,0.1832,1.8325,1.40
62.csv,10,0.1527,1.5271,0.30
63.csv,12,0.1832,1.8325,1.56
64.csv,12,0.1832,1.8325,1.56
65.csv,12,0.1832,1.8325,1.56
66.csv,12,0.1832,1.8325,1.37
67.csv,12,0.1832,1.8325,1.51
68.csv,13,0.1985,1.9852,0.32
69.csv,13,0.1985,1.9852,0.27
7.csv,13,0.1985,1.9852,0.45
70.csv,10,0.1527,1.5271,0.45
71.csv,13,0.1985,1.9852,0.61
72.csv,12,0.1832,1.8325,1.56
73.csv,12,0.1832,1.8325,1.56
74.csv,12,0.1832,1.8325,1.56
75.csv,10,0.1527,1.5271,0.25
76.csv,12,0.1832,1.8325,0.38
77.csv,12,0.1832,1.8325,1.25
78.csv,12,0.1832,1.8325,0.92
79.csv,12,0.1832,1.8325,1.54
8.csv,13,0.1985,1.9852,0.33
80.csv,13,0.1985,1.9852,0.36
81.csv,12,0.1832,1.8325,1.56
82.csv,9,0.1374,1.3744,0.92
83.csv,12,0.1832,1.8325,1.32
84.csv,9,0.1374,1.3744,0.46
85.csv,8,0.1222,1.2217,0.58
86.csv,12,0.1832,1.8325,0.27
87.csv,13,0.1985,1.9852,0.32
88.csv,12,0.1832,1.8325,1.02
89.csv,12,0.1832,1.8325,1.56
9.csv,12,0.1832,1.8325,1.64
90.csv,13,0.1985,1.9852,0.26
91.csv,12,0.1832,1.8325,0.25
92.csv,12,0.1832,1.8325,1.02
93.csv,12,0.1832,1.8325,1.56
94.csv,13,0.1985,1.9852,0.95
95.csv,12,0.1832,1.8325,0.62
96.csv,8,0.1222,1.2217,1.56
97.csv,12,0.1832,1.8325,0.52
98.csv,8,0.1222,1.2217,0.44
99.csv,12,0.1832,1.8325,1.56
