Length,Label,Average_PMD,Std_Dev
10,10m,1.7500420000000003,0.24209261195591317
20,20m,2.128470707070707,0.28803006867287145
30,30m,3.1101330000000003,0.09207662603297406
40,40m,3.2769869999999997,0.21958465736131216
50,50m,2.365134,0.3399011348298
