Filename,N_ext,DGD_ps,PMD_Coeff,Delta_dB
1.csv,37,0.5494,3.1719,0.77
10.csv,38,0.5642,3.2576,0.45
100.csv,36,0.5345,3.0861,1.54
11.csv,36,0.5345,3.0861,0.48
12.csv,36,0.5345,3.0861,1.38
13.csv,36,0.5345,3.0861,1.27
14.csv,36,0.5345,3.0861,1.12
15.csv,37,0.5494,3.1719,0.46
16.csv,36,0.5345,3.0861,1.44
17.csv,37,0.5494,3.1719,0.41
18.csv,37,0.5494,3.1719,0.78
19.csv,36,0.5345,3.0861,1.06
2.csv,37,0.5494,3.1719,0.70
20.csv,36,0.5345,3.0861,1.18
21.csv,37,0.5494,3.1719,0.29
22.csv,37,0.5494,3.1719,0.71
23.csv,37,0.5494,3.1719,1.09
24.csv,36,0.5345,3.0861,1.47
25.csv,37,0.5494,3.1719,0.90
26.csv,36,0.5345,3.0861,1.29
27.csv,36,0.5345,3.0861,1.19
28.csv,36,0.5345,3.0861,1.38
29.csv,37,0.5494,3.1719,0.54
3.csv,36,0.5345,3.0861,0.64
30.csv,36,0.5345,3.0861,1.28
31.csv,36,0.5345,3.0861,1.29
32.csv,37,0.5494,3.1719,0.30
33.csv,38,0.5642,3.2576,0.44
34.csv,36,0.5345,3.0861,1.06
35.csv,37,0.5494,3.1719,0.55
36.csv,36,0.5345,3.0861,1.44
37.csv,37,0.5494,3.1719,0.55
38.csv,36,0.5345,3.0861,1.32
39.csv,36,0.5345,3.0861,0.71
4.csv,38,0.5642,3.2576,0.26
40.csv,38,0.5642,3.2576,0.42
41.csv,37,0.5494,3.1719,0.73
42.csv,36,0.5345,3.0861,1.31
43.csv,36,0.5345,3.0861,1.41
44.csv,36,0.5345,3.0861,1.37
45.csv,36,0.5345,3.0861,0.29
46.csv,37,0.5494,3.1719,0.25
47.csv,36,0.5345,3.0861,1.63
48.csv,37,0.5494,3.1719,0.36
49.csv,36,0.5345,3.0861,1.59
5.csv,37,0.5494,3.1719,0.90
50.csv,36,0.5345,3.0861,1.28
51.csv,37,0.5494,3.1719,0.35
52.csv,36,0.5345,3.0861,1.09
53.csv,37,0.5494,3.1719,1.00
54.csv,36,0.5345,3.0861,1.66
55.csv,36,0.5345,3.0861,1.43
56.csv,37,0.5494,3.1719,0.30
57.csv,36,0.5345,3.0861,1.43
58.csv,35,0.5197,3.0004,0.52
59.csv,37,0.5494,3.1719,0.45
6.csv,36,0.5345,3.0861,0.95
60.csv,36,0.5345,3.0861,1.28
61.csv,36,0.5345,3.0861,1.50
62.csv,35,0.5197,3.0004,0.78
63.csv,36,0.5345,3.0861,1.63
64.csv,36,0.5345,3.0861,1.56
65.csv,36,0.5345,3.0861,1.59
66.csv,36,0.5345,3.0861,1.51
67.csv,36,0.5345,3.0861,1.56
68.csv,36,0.5345,3.0861,1.54
69.csv,37,0.5494,3.1719,0.29
7.csv,37,0.5494,3.1719,0.27
70.csv,37,0.5494,3.1719,0.26
71.csv,36,0.5345,3.0861,1.31
72.csv,36,0.5345,3.0861,1.53
73.csv,36,0.5345,3.0861,1.53
74.csv,36,0.5345,3.0861,1.54
75.csv,36,0.5345,3.0861,1.47
76.csv,35,0.5197,3.0004,0.99
77.csv,37,0.5494,3.1719,0.61
78.csv,36,0.5345,3.0861,1.03
79.csv,37,0.5494,3.1719,0.44
8.csv,37,0.5494,3.1719,0.67
80.csv,36,0.5345,3.0861,1.12
81.csv,36,0.5345,3.0861,1.56
82.csv,37,0.5494,3.1719,0.32
83.csv,37,0.5494,3.1719,0.76
84.csv,36,0.5345,3.0861,1.51
85.csv,37,0.5494,3.1719,0.35
86.csv,32,0.4751,2.7432,0.80
87.csv,37,0.5494,3.1719,0.30
88.csv,37,0.5494,3.1719,0.81
89.csv,37,0.5494,3.1719,0.32
9.csv,36,0.5345,3.0861,0.99
90.csv,35,0.5197,3.0004,0.78
91.csv,36,0.5345,3.0861,0.81
92.csv,29,0.4306,2.4860,0.54
93.csv,36,0.5345,3.0861,1.08
94.csv,35,0.5197,3.0004,0.42
95.csv,37,0.5494,3.1719,0.29
96.csv,36,0.5345,3.0861,1.29
97.csv,36,0.5345,3.0861,1.66
98.csv,37,0.5494,3.1719,0.67
99.csv,37,0.5494,3.1719,0.62
