Wavelength (nm);Intensity (dBm)
1131.0;1131.0
1200.0;-61.5
1200.199;-61.39
1200.398;-61.38
1200.597;-61.33
1200.797;-61.26
1200.996;-61.2
1201.195;-61.12
1201.394;-61.08
1201.593;-61.04
1201.792;-60.97
1201.991;-60.94
1202.19;-60.88
1202.389;-60.85
1202.589;-60.83
1202.788;-60.77
1202.987;-60.71
1203.186;-60.71
1203.385;-60.69
1203.584;-60.66
1203.783;-60.63
1203.982;-60.67
1204.181;-60.64
1204.381;-60.61
1204.58;-60.61
1204.779;-60.62
1204.978;-60.67
1205.177;-60.68
1205.376;-60.68
1205.575;-60.7
1205.774;-60.71
1205.974;-60.74
1206.173;-60.73
1206.372;-60.7
1206.571;-60.74
1206.77;-60.72
1206.969;-60.66
1207.168;-60.59
1207.367;-60.56
1207.566;-60.54
1207.766;-60.44
1207.965;-60.38
1208.164;-60.3
1208.363;-60.25
1208.562;-60.16
1208.761;-60.05
1208.96;-59.99
1209.159;-59.95
1209.358;-59.87
1209.558;-59.78
1209.757;-59.72
1209.956;-59.71
1210.155;-59.63
1210.354;-59.54
1210.553;-59.48
1210.752;-59.44
1210.951;-59.43
1211.15;-59.36
1211.35;-59.29
1211.549;-59.3
1211.748;-59.29
1211.947;-59.24
1212.146;-59.19
1212.345;-59.16
1212.544;-59.2
1212.743;-59.18
1212.943;-59.14
1213.142;-59.14
1213.341;-59.17
1213.54;-59.16
1213.739;-59.12
1213.938;-59.12
1214.137;-59.13
1214.336;-59.12
1214.535;-59.1
1214.735;-59.08
1214.934;-59.1
1215.133;-59.07
1215.332;-59.02
1215.531;-59.01
1215.73;-58.99
1215.929;-58.99
1216.128;-58.92
1216.327;-58.88
1216.527;-58.86
1216.726;-58.84
1216.925;-58.82
1217.124;-58.74
1217.323;-58.71
1217.522;-58.72
1217.721;-58.68
1217.92;-58.62
1218.12;-58.6
1218.319;-58.61
1218.518;-58.6
1218.717;-58.54
1218.916;-58.53
1219.115;-58.51
1219.314;-58.49
1219.513;-58.47
1219.712;-58.45
1219.912;-58.44
1220.111;-58.4
1220.31;-58.37
1220.509;-58.34
1220.708;-58.3
1220.907;-58.28
1221.106;-58.18
1221.305;-58.12
1221.504;-58.08
1221.704;-58.03
1221.903;-57.95
1222.102;-57.84
1222.301;-57.79
1222.5;-57.72
1222.699;-57.63
1222.898;-57.55
1223.097;-57.47
1223.297;-57.42
1223.496;-57.32
1223.695;-57.21
1223.894;-57.17
1224.093;-57.09
1224.292;-57.0
1224.491;-56.89
1224.69;-56.83
1224.889;-56.74
1225.089;-56.62
1225.288;-56.5
1225.487;-56.4
1225.686;-56.3
1225.885;-56.17
1226.084;-56.0
1226.283;-55.88
1226.482;-55.73
1226.681;-55.61
1226.881;-55.49
1227.08;-55.36
1227.279;-55.28
1227.478;-55.14
1227.677;-55.04
1227.876;-54.99
1228.075;-54.92
1228.274;-54.88
1228.474;-54.81
1228.673;-54.8
1228.872;-54.8
1229.071;-54.77
1229.27;-54.78
1229.469;-54.79
1229.668;-54.81
1229.867;-54.83
1230.066;-54.84
1230.266;-54.89
1230.465;-54.92
1230.664;-54.94
1230.863;-55.01
1231.062;-55.04
1231.261;-55.08
1231.46;-55.08
1231.659;-55.07
1231.858;-55.06
1232.058;-55.01
1232.257;-54.91
1232.456;-54.8
1232.655;-54.65
1232.854;-54.49
1233.053;-54.28
1233.252;-54.08
1233.451;-53.86
1233.65;-53.65
1233.85;-53.43
1234.049;-53.23
1234.248;-53.05
1234.447;-52.88
1234.646;-52.72
1234.845;-52.62
1235.044;-52.51
1235.243;-52.44
1235.443;-52.35
1235.642;-52.32
1235.841;-52.3
1236.04;-52.28
1236.239;-52.27
1236.438;-52.27
1236.637;-52.29
1236.836;-52.29
1237.035;-52.3
1237.235;-52.33
1237.434;-52.32
1237.633;-52.31
1237.832;-52.31
1238.031;-52.28
1238.23;-52.26
1238.429;-52.18
1238.628;-52.12
1238.827;-52.05
1239.027;-51.95
1239.226;-51.84
1239.425;-51.71
1239.624;-51.61
1239.823;-51.47
1240.022;-51.33
1240.221;-51.23
1240.42;-51.11
1240.62;-51.0
1240.819;-50.89
1241.018;-50.79
1241.217;-50.72
1241.416;-50.63
1241.615;-50.55
1241.814;-50.5
1242.013;-50.44
1242.212;-50.39
1242.412;-50.33
1242.611;-50.28
1242.81;-50.21
1243.009;-50.12
1243.208;-50.07
1243.407;-49.98
1243.606;-49.88
1243.805;-49.78
1244.004;-49.68
1244.204;-49.6
1244.403;-49.48
1244.602;-49.39
1244.801;-49.31
1245.0;-49.23
1245.199;-49.17
1245.398;-49.11
1245.597;-49.07
1245.797;-49.02
1245.996;-48.96
1246.195;-48.94
1246.394;-48.87
1246.593;-48.79
1246.792;-48.68
1246.991;-48.54
1247.19;-48.36
1247.389;-48.12
1247.589;-47.85
1247.788;-47.54
1247.987;-47.16
1248.186;-46.79
1248.385;-46.39
1248.584;-45.96
1248.783;-45.46
1248.982;-45.13
1249.181;-44.72
1249.381;-44.31
1249.58;-43.94
1249.779;-43.58
1249.978;-43.25
1250.177;-42.93
1250.376;-42.64
1250.575;-42.38
1250.774;-42.12
1250.974;-41.92
1251.173;-41.71
1251.372;-41.52
1251.571;-41.36
1251.77;-41.2
1251.969;-41.06
1252.168;-40.9
1252.367;-40.76
1252.566;-40.65
1252.766;-40.5
1252.965;-40.38
1253.164;-40.24
1253.363;-40.1
1253.562;-39.96
1253.761;-39.8
1253.96;-39.67
1254.159;-39.5
1254.358;-39.33
1254.558;-39.18
1254.757;-39.01
1254.956;-38.85
1255.155;-38.67
1255.354;-38.51
1255.553;-38.34
1255.752;-38.16
1255.951;-38.01
1256.15;-37.84
1256.35;-37.66
1256.549;-37.5
1256.748;-37.32
1256.947;-37.16
1257.146;-36.96
1257.345;-36.78
1257.544;-36.6
1257.743;-36.4
1257.943;-36.21
1258.142;-36.01
1258.341;-35.78
1258.54;-35.61
1258.739;-35.41
1258.938;-35.19
1259.137;-34.99
1259.336;-34.79
1259.535;-34.6
1259.735;-34.4
1259.934;-34.2
1260.133;-34.01
