Wavelength (nm);Intensity (dBm)
1131.0;1131.0
1200.0;-61.64
1200.199;-61.53
1200.398;-61.5
1200.597;-61.5
1200.797;-61.42
1200.996;-61.33
1201.195;-61.25
1201.394;-61.21
1201.593;-61.16
1201.792;-61.1
1201.991;-61.02
1202.19;-60.96
1202.389;-60.9
1202.589;-60.88
1202.788;-60.8
1202.987;-60.72
1203.186;-60.71
1203.385;-60.66
1203.584;-60.62
1203.783;-60.56
1203.982;-60.57
1204.181;-60.55
1204.381;-60.53
1204.58;-60.56
1204.779;-60.54
1204.978;-60.61
1205.177;-60.65
1205.376;-60.63
1205.575;-60.68
1205.774;-60.72
1205.974;-60.76
1206.173;-60.76
1206.372;-60.78
1206.571;-60.8
1206.77;-60.79
1206.969;-60.76
1207.168;-60.72
1207.367;-60.69
1207.566;-60.67
1207.766;-60.6
1207.965;-60.52
1208.164;-60.49
1208.363;-60.44
1208.562;-60.38
1208.761;-60.29
1208.96;-60.22
1209.159;-60.19
1209.358;-60.11
1209.558;-60.05
1209.757;-59.97
1209.956;-59.93
1210.155;-59.89
1210.354;-59.79
1210.553;-59.76
1210.752;-59.72
1210.951;-59.68
1211.15;-59.63
1211.35;-59.54
1211.549;-59.54
1211.748;-59.53
1211.947;-59.48
1212.146;-59.42
1212.345;-59.41
1212.544;-59.43
1212.743;-59.39
1212.943;-59.35
1213.142;-59.36
1213.341;-59.37
1213.54;-59.39
1213.739;-59.34
1213.938;-59.32
1214.137;-59.33
1214.336;-59.32
1214.535;-59.29
1214.735;-59.27
1214.934;-59.27
1215.133;-59.27
1215.332;-59.18
1215.531;-59.17
1215.73;-59.15
1215.929;-59.11
1216.128;-59.05
1216.327;-59.0
1216.527;-58.99
1216.726;-58.95
1216.925;-58.89
1217.124;-58.83
1217.323;-58.8
1217.522;-58.8
1217.721;-58.73
1217.92;-58.67
1218.12;-58.65
1218.319;-58.64
1218.518;-58.61
1218.717;-58.54
1218.916;-58.51
1219.115;-58.53
1219.314;-58.49
1219.513;-58.45
1219.712;-58.41
1219.912;-58.41
1220.111;-58.39
1220.31;-58.31
1220.509;-58.27
1220.708;-58.24
1220.907;-58.21
1221.106;-58.13
1221.305;-58.07
1221.504;-58.04
1221.704;-57.99
1221.903;-57.91
1222.102;-57.83
1222.301;-57.79
1222.5;-57.76
1222.699;-57.68
1222.898;-57.6
1223.097;-57.56
1223.297;-57.54
1223.496;-57.47
1223.695;-57.42
1223.894;-57.39
1224.093;-57.36
1224.292;-57.29
1224.491;-57.25
1224.69;-57.2
1224.889;-57.14
1225.089;-57.07
1225.288;-56.96
1225.487;-56.88
1225.686;-56.79
1225.885;-56.66
1226.084;-56.52
1226.283;-56.38
1226.482;-56.25
1226.681;-56.07
1226.881;-55.91
1227.08;-55.74
1227.279;-55.61
1227.478;-55.47
1227.677;-55.32
1227.876;-55.2
1228.075;-55.09
1228.274;-54.98
1228.474;-54.87
1228.673;-54.79
1228.872;-54.73
1229.071;-54.65
1229.27;-54.59
1229.469;-54.56
1229.668;-54.54
1229.867;-54.5
1230.066;-54.51
1230.266;-54.51
1230.465;-54.54
1230.664;-54.56
1230.863;-54.62
1231.062;-54.7
1231.261;-54.77
1231.46;-54.84
1231.659;-54.9
1231.858;-54.95
1232.058;-55.0
1232.257;-54.97
1232.456;-54.97
1232.655;-54.9
1232.854;-54.79
1233.053;-54.65
1233.252;-54.48
1233.451;-54.31
1233.65;-54.09
1233.85;-53.87
1234.049;-53.67
1234.248;-53.47
1234.447;-53.27
1234.646;-53.07
1234.845;-52.91
1235.044;-52.76
1235.243;-52.62
1235.443;-52.51
1235.642;-52.41
1235.841;-52.33
1236.04;-52.26
1236.239;-52.2
1236.438;-52.17
1236.637;-52.14
1236.836;-52.11
1237.035;-52.1
1237.235;-52.1
1237.434;-52.12
1237.633;-52.11
1237.832;-52.12
1238.031;-52.13
1238.23;-52.14
1238.429;-52.13
1238.628;-52.1
1238.827;-52.06
1239.027;-52.01
1239.226;-51.91
1239.425;-51.83
1239.624;-51.73
1239.823;-51.6
1240.022;-51.45
1240.221;-51.32
1240.42;-51.19
1240.62;-51.05
1240.819;-50.92
1241.018;-50.8
1241.217;-50.69
1241.416;-50.6
1241.615;-50.5
1241.814;-50.44
1242.013;-50.38
1242.212;-50.32
1242.412;-50.3
1242.611;-50.26
1242.81;-50.23
1243.009;-50.18
1243.208;-50.16
1243.407;-50.15
1243.606;-50.09
1243.805;-50.07
1244.004;-50.03
1244.204;-49.99
1244.403;-49.95
1244.602;-49.89
1244.801;-49.87
1245.0;-49.82
1245.199;-49.77
1245.398;-49.76
1245.597;-49.71
1245.797;-49.68
1245.996;-49.62
1246.195;-49.59
1246.394;-49.55
1246.593;-49.47
1246.792;-49.39
1246.991;-49.27
1247.19;-49.12
1247.389;-48.95
1247.589;-48.72
1247.788;-48.47
1247.987;-48.14
1248.186;-47.8
1248.385;-47.45
1248.584;-47.03
1248.783;-46.62
1248.982;-46.2
1249.181;-45.73
1249.381;-45.37
1249.58;-44.96
1249.779;-44.59
1249.978;-44.19
1250.177;-43.84
1250.376;-43.5
1250.575;-43.17
1250.774;-42.87
1250.974;-42.58
1251.173;-42.32
1251.372;-42.04
1251.571;-41.8
1251.77;-41.58
1251.969;-41.34
1252.168;-41.13
1252.367;-40.91
1252.566;-40.71
1252.766;-40.52
1252.965;-40.32
1253.164;-40.13
1253.363;-39.93
1253.562;-39.74
1253.761;-39.54
1253.96;-39.36
1254.159;-39.17
1254.358;-38.96
1254.558;-38.78
1254.757;-38.58
1254.956;-38.38
1255.155;-38.21
1255.354;-38.0
1255.553;-37.82
1255.752;-37.63
1255.951;-37.44
1256.15;-37.27
1256.35;-37.07
1256.549;-36.9
1256.748;-36.72
1256.947;-36.54
1257.146;-36.36
1257.345;-36.17
1257.544;-36.01
1257.743;-35.8
1257.943;-35.65
1258.142;-35.49
1258.341;-35.3
1258.54;-35.14
1258.739;-34.96
1258.938;-34.79
1259.137;-34.61
1259.336;-34.44
1259.535;-34.29
1259.735;-34.11
1259.934;-33.94
1260.133;-33.78
1260.332;-33.62
1260.531;-33.48
1260.73;-33.31
1260.929;-33.17
1261.128;-33.01
1261.327;-32.87
1261.527;-32.74
1261.726;-32.59
1261.925;-32.46
1262.124;-32.31
1262.323;-32.17
1262.522;-32.05
1262.721;-31.9
1262.92;-31.78
1263.12;-31.63
1263.319;-31.49
1263.518;-31.36
1263.717;-31.21
1263.916;-31.07
1264.115;-30.92
1264.314;-30.77
1264.513;-30.64
1264.712;-30.49
1264.912;-30.35
1265.111;-30.2
1265.31;-30.05
1265.509;-29.92
1265.708;-29.78
1265.907;-29.65
1266.106;-29.5
1266.305;-29.37
1266.504;-29.26
1266.704;-29.13
1266.903;-29.02
1267.102;-28.89
1267.301;-28.78
1267.5;-28.68
1267.699;-28.56
1267.898;-28.47
1268.097;-28.37
1268.297;-28.28
1268.496;-28.2
1268.695;-28.12
1268.894;-28.06
1269.093;-27.98
1269.292;-27.93
1269.491;-27.9
1269.69;-27.87
1269.889;-27.87
1270.089;-27.87
1270.288;-27.91
1270.487;-27.97
1270.686;-28.05
1270.885;-28.18
1271.084;-28.31
1271.283;-28.5
1271.482;-28.72
1271.681;-28.98
1271.881;-29.3
1272.08;-29.66
1272.279;-30.09
1272.478;-30.56
1272.677;-31.11
1272.876;-31.76
1273.075;-32.48
1273.274;-33.3
1273.474;-34.23
1273.673;-35.28
1273.872;-36.44
1274.071;-37.67
1274.27;-39.13
1274.469;-39.84
1274.668;-40.18
1274.867;-39.73
1275.066;-38.7
1275.266;-37.41
1275.465;-35.89
1275.664;-34.87
1275.863;-33.77
1276.062;-32.79
1276.261;-31.92
1276.46;-31.16
1276.659;-30.48
1276.858;-29.9
1277.058;-29.42
1277.257;-28.98
1277.456;-28.62
1277.655;-28.31
1277.854;-28.06
1278.053;-27.87
1278.252;-27.7
1278.451;-27.6
1278.65;-27.53
1278.85;-27.5
1279.049;-27.51
1279.248;-27.54
1279.447;-27.63
1279.646;-27.72
1279.845;-27.85
1280.044;-28.01
1280.243;-28.18
1280.443;-28.39
1280.642;-28.59
1280.841;-28.81
1281.04;-29.04
1281.239;-29.28
1281.438;-29.53
1281.637;-29.76
1281.836;-30.0
1282.035;-30.22
1282.235;-30.44
1282.434;-30.67
1282.633;-30.89
1282.832;-31.1
1283.031;-31.29
1283.23;-31.48
1283.429;-31.67
1283.628;-31.82
1283.827;-31.98
1284.027;-32.09
1284.226;-32.19
1284.425;-32.25
1284.624;-32.25
1284.823;-32.2
1285.022;-32.07
1285.221;-31.87
1285.42;-31.6
1285.62;-31.25
1285.819;-30.86
1286.018;-30.4
1286.217;-29.91
1286.416;-29.4
1286.615;-28.88
1286.814;-28.36
1287.013;-27.82
1287.212;-27.3
1287.412;-26.8
1287.611;-26.31
1287.81;-25.77
1288.009;-25.41
1288.208;-25.01
1288.407;-24.6
1288.606;-24.23
1288.805;-23.87
1289.004;-23.53
1289.204;-23.23
1289.403;-22.92
1289.602;-22.65
1289.801;-22.38
1290.0;-22.13
1290.199;-21.91
1290.398;-21.68
1290.597;-21.48
1290.797;-21.28
1290.996;-21.09
1291.195;-20.93
1291.394;-20.76
1291.593;-20.61
1291.792;-20.47
1291.991;-20.35
1292.19;-20.25
1292.389;-20.15
1292.589;-20.06
1292.788;-19.98
1292.987;-19.93
1293.186;-19.89
1293.385;-19.86
1293.584;-19.84
1293.783;-19.84
1293.982;-19.85
1294.181;-19.88
1294.381;-19.93
1294.58;-20.0
1294.779;-20.07
1294.978;-20.18
1295.177;-20.29
1295.376;-20.42
1295.575;-20.58
1295.774;-20.75
1295.974;-20.96
1296.173;-21.18
1296.372;-21.43
1296.571;-21.7
1296.77;-22.0
1296.969;-22.34
1297.168;-22.7
1297.367;-23.1
1297.566;-23.52
1297.766;-23.99
1297.965;-24.51
1298.164;-25.05
1298.363;-25.66
1298.562;-26.29
1298.761;-26.98
1298.96;-27.74
1299.159;-28.68
1299.358;-29.35
1299.558;-30.14
1299.757;-30.92
1299.956;-31.56
1300.155;-32.01
1300.354;-32.18
1300.553;-32.02
1300.752;-31.62
1300.951;-30.99
1301.15;-30.27
1301.35;-29.5
1301.549;-28.74
1301.748;-28.02
1301.947;-27.31
1302.146;-26.68
1302.345;-26.08
1302.544;-25.46
1302.743;-25.04
1302.943;-24.59
1303.142;-24.2
1303.341;-23.81
1303.54;-23.5
1303.739;-23.18
1303.938;-22.92
1304.137;-22.69
1304.336;-22.48
1304.535;-22.32
1304.735;-22.16
1304.934;-22.03
1305.133;-21.94
1305.332;-21.86
1305.531;-21.83
1305.73;-21.8
1305.929;-21.79
1306.128;-21.81
1306.327;-21.85
1306.527;-21.93
1306.726;-22.0
1306.925;-22.11
1307.124;-22.24
1307.323;-22.39
1307.522;-22.58
1307.721;-22.75
1307.92;-22.97
1308.12;-23.22
1308.319;-23.47
1308.518;-23.77
1308.717;-24.06
1308.916;-24.38
1309.115;-24.72
1309.314;-25.08
1309.513;-25.47
1309.712;-25.84
1309.912;-26.25
1310.111;-26.65
1310.31;-27.06
1310.509;-27.48
1310.708;-27.88
1310.907;-28.28
1311.106;-28.71
1311.305;-28.98
1311.504;-29.26
1311.704;-29.49
1311.903;-29.64
1312.102;-29.73
1312.301;-29.77
1312.5;-29.74
1312.699;-29.66
1312.898;-29.51
1313.097;-29.34
1313.297;-29.14
1313.496;-28.94
1313.695;-28.73
1313.894;-28.49
1314.093;-28.29
1314.292;-28.08
1314.491;-27.89
1314.69;-27.71
1314.889;-27.54
1315.089;-27.39
1315.288;-27.25
1315.487;-27.14
1315.686;-27.05
1315.885;-26.96
1316.084;-26.91
1316.283;-26.86
1316.482;-26.85
1316.681;-26.85
1316.881;-26.86
1317.08;-26.92
1317.279;-26.96
1317.478;-27.04
1317.677;-27.12
1317.876;-27.22
1318.075;-27.35
1318.274;-27.48
1318.474;-27.64
1318.673;-27.81
1318.872;-27.98
1319.071;-28.19
1319.27;-28.39
1319.469;-28.61
1319.668;-28.83
1319.867;-29.05
1320.066;-29.28
1320.266;-29.51
1320.465;-29.74
1320.664;-29.95
1320.863;-30.16
1321.062;-30.33
1321.261;-30.49
1321.46;-30.63
1321.659;-30.73
1321.858;-30.81
1322.058;-30.84
1322.257;-30.85
1322.456;-30.83
1322.655;-30.78
1322.854;-30.72
1323.053;-30.63
1323.252;-30.52
1323.451;-30.4
1323.65;-30.27
1323.85;-30.16
1324.049;-30.02
1324.248;-29.91
1324.447;-29.79
1324.646;-29.68
1324.845;-29.58
1325.044;-29.49
1325.243;-29.42
1325.443;-29.35
1325.642;-29.32
1325.841;-29.28
1326.04;-29.26
1326.239;-29.26
1326.438;-29.26
1326.637;-29.29
1326.836;-29.33
1327.035;-29.38
1327.235;-29.46
1327.434;-29.53
1327.633;-29.63
1327.832;-29.74
1328.031;-29.86
1328.23;-30.01
1328.429;-30.16
1328.628;-30.35
1328.827;-30.53
1329.027;-30.74
1329.226;-30.96
1329.425;-31.2
1329.624;-31.46
1329.823;-31.72
1330.022;-32.03
1330.221;-32.34
1330.42;-32.67
1330.62;-33.04
1330.819;-33.42
1331.018;-33.84
1331.217;-34.28
1331.416;-34.75
1331.615;-35.25
1331.814;-35.78
1332.013;-36.36
1332.212;-36.96
1332.412;-37.6
1332.611;-38.28
1332.81;-39.14
1333.009;-39.74
1333.208;-40.52
1333.407;-41.32
1333.606;-42.14
1333.805;-42.98
1334.004;-43.77
1334.204;-44.51
1334.403;-45.13
1334.602;-45.62
1334.801;-45.93
1335.0;-46.05
1335.199;-46.01
1335.398;-45.82
1335.597;-45.56
1335.797;-45.25
1335.996;-44.93
1336.195;-44.62
1336.394;-44.31
1336.593;-44.04
1336.792;-43.79
1336.991;-43.59
1337.19;-43.44
1337.389;-43.31
1337.589;-43.24
1337.788;-43.17
1337.987;-43.16
1338.186;-43.17
1338.385;-43.2
1338.584;-43.27
1338.783;-43.34
1338.982;-43.46
1339.181;-43.58
1339.381;-43.71
1339.58;-43.86
1339.779;-43.99
1339.978;-44.14
1340.177;-44.28
1340.376;-44.41
1340.575;-44.53
1340.774;-44.63
1340.974;-44.72
1341.173;-44.77
1341.372;-44.81
1341.571;-44.83
1341.77;-44.82
1341.969;-44.81
1342.168;-44.77
1342.367;-44.73
1342.566;-44.66
1342.766;-44.61
1342.965;-44.55
1343.164;-44.48
1343.363;-44.43
1343.562;-44.36
1343.761;-44.33
1343.96;-44.29
1344.159;-44.26
1344.358;-44.26
1344.558;-44.24
1344.757;-44.25
1344.956;-44.24
1345.155;-44.26
1345.354;-44.27
1345.553;-44.3
1345.752;-44.36
1345.951;-44.4
1346.15;-44.47
1346.35;-44.54
1346.549;-44.63
1346.748;-44.72
1346.947;-44.79
1347.146;-44.9
1347.345;-44.98
1347.544;-45.13
1347.743;-45.31
1347.943;-45.45
1348.142;-45.59
1348.341;-45.73
1348.54;-45.85
1348.739;-45.99
1348.938;-46.13
1349.137;-46.3
1349.336;-46.44
1349.535;-46.62
1349.735;-46.79
1349.934;-46.98
1350.133;-47.22
1350.332;-47.49
1350.531;-47.76
1350.73;-47.98
1350.929;-48.19
1351.128;-48.38
1351.327;-48.67
1351.527;-48.87
1351.726;-49.18
1351.925;-49.47
1352.124;-49.72
1352.323;-50.01
1352.522;-50.3
1352.721;-50.55
1352.92;-50.81
1353.12;-51.18
1353.319;-51.4
1353.518;-51.67
1353.717;-51.98
1353.916;-52.17
1354.115;-52.43
1354.314;-52.78
1354.513;-53.08
1354.712;-53.51
1354.912;-53.91
1355.111;-54.22
1355.31;-54.48
1355.509;-54.6
1355.708;-54.99
1355.907;-55.38
1356.106;-55.69
1356.305;-55.92
1356.504;-56.17
1356.704;-56.23
1356.903;-56.5
1357.102;-57.01
1357.301;-57.37
1357.5;-57.7
1357.699;-58.01
1357.898;-58.18
1358.097;-58.37
1358.297;-58.71
1358.496;-59.0
1358.695;-59.19
1358.894;-59.44
1359.093;-59.65
1359.292;-59.73
1359.491;-60.13
1359.69;-60.43
1359.889;-60.62
1360.089;-60.66
1360.288;-60.64
1360.487;-60.56
1360.686;-60.66
1360.885;-60.93
1361.084;-61.12
1361.283;-61.16
1361.482;-61.22
1361.681;-61.33
1361.881;-61.32
1362.08;-61.39
1362.279;-61.72
1362.478;-61.81
1362.677;-61.82
1362.876;-61.54
1363.075;-61.35
1363.274;-60.98
1363.474;-60.94
1363.673;-60.9
1363.872;-60.91
1364.071;-61.01
1364.27;-61.08
1364.469;-61.29
1364.668;-61.7
1364.867;-61.82
1365.066;-61.69
1365.266;-61.76
1365.465;-61.62
1365.664;-61.6
1365.863;-61.58
1366.062;-61.51
1366.261;-61.44
1366.46;-61.45
1366.659;-61.55
1366.858;-61.72
1367.058;-61.82
1367.257;-61.91
1367.456;-62.11
1367.655;-62.29
1367.854;-62.55
1368.053;-62.66
1368.252;-62.61
1368.451;-62.95
1368.65;-63.06
1368.85;-63.18
1369.049;-63.18
1369.248;-63.15
1369.447;-63.09
1369.646;-63.23
1369.845;-63.64
1370.044;-63.93
1370.243;-64.16
1370.443;-64.24
1370.642;-64.36
1370.841;-64.78
1371.04;-65.14
1371.239;-65.53
1371.438;-65.69
1371.637;-65.82
1371.836;-65.97
1372.035;-66.43
1372.235;-66.78
1372.434;-67.17
1372.633;-67.56
1372.832;-68.01
1373.031;-68.32
1373.23;-68.79
1373.429;-69.1
1373.628;-69.62
1373.827;-70.29
1374.027;-71.01
1374.226;-71.68
1374.425;-72.35
1374.624;-73.17
1374.823;-73.83
1375.022;-74.98
1375.221;-75.61
1375.42;-76.26
1375.62;-77.59
1375.819;-78.16
1376.018;-78.06
1376.217;-78.08
1376.416;-80.58
1376.615;-79.76
1376.814;-80.14
1377.013;-81.1
1377.212;-80.26
1377.412;-80.3
1377.611;-77.25
1377.81;-76.97
1378.009;-76.64
1378.208;-76.73
1378.407;-76.43
1378.606;-75.96
1378.805;-76.12
1379.004;-75.46
1379.204;-76.05
1379.403;-75.11
1379.602;-74.71
1379.801;-74.96
1380.0;-74.31
1380.199;-74.36
1380.398;-74.79
1380.597;-75.39
1380.797;-75.9
1380.996;-75.13
1381.195;-75.96
1381.394;-75.57
1381.593;-76.11
1381.792;-75.66
1381.991;-75.78
1382.19;-76.02
1382.389;-77.13
1382.589;-77.05
1382.788;-77.72
1382.987;-78.54
1383.186;-79.9
1383.385;-80.14
1383.584;-78.27
1383.783;-79.03
1383.982;-79.03
1384.181;-81.01
1384.381;-80.3
1384.58;-81.02
1384.779;-81.11
1384.978;-82.71
1385.177;-81.69
1385.376;-81.42
1385.575;-84.12
1385.774;-83.32
1385.974;-82.23
1386.173;-83.32
1386.372;-81.47
1386.571;-81.64
1386.77;-82.85
1386.969;-80.07
1387.168;-79.73
1387.367;-80.47
1387.566;-79.99
1387.766;-82.36
1387.965;-79.99
1388.164;-80.39
1388.363;-80.31
1388.562;-79.88
1388.761;-81.64
1388.96;-81.93
1389.159;-80.52
1389.358;-79.19
1389.558;-80.74
1389.757;-79.49
1389.956;-83.75
1390.155;-82.5
1390.354;-80.56
1390.553;-81.21
1390.752;-82.17
1390.951;-82.36
1391.15;-84.54
1391.35;-82.71
1391.549;-81.03
1391.748;-83.25
1391.947;-82.0
1392.146;-82.12
1392.345;-83.01
1392.544;-83.25
1392.743;-83.17
1392.943;-84.34
1393.142;-210.0
1393.341;-82.51
1393.54;-82.79
1393.739;-84.77
1393.938;-88.53
1394.137;-81.88
1394.336;-83.76
1394.535;-86.1
1394.735;-83.49
1394.934;-82.51
1395.133;-85.25
1395.332;-84.89
1395.531;-81.03
1395.73;-81.65
1395.929;-82.24
1396.128;-81.48
1396.327;-82.94
1396.527;-83.01
1396.726;-82.0
1396.925;-83.94
1397.124;-82.44
1397.323;-87.78
1397.522;-82.51
1397.721;-80.75
1397.92;-80.79
1398.12;-80.0
1398.319;-81.03
1398.518;-81.66
1398.717;-81.18
1398.916;-80.71
1399.115;-84.14
1399.314;-83.26
1399.513;-82.13
1399.712;-81.23
1399.912;-79.93
1400.111;-82.52
1400.31;-82.8
1400.509;-83.68
1400.708;-84.56
1400.907;-81.95
1401.106;-81.83
1401.305;-85.39
1401.504;-87.36
1401.704;-84.45
1401.903;-87.79
1402.102;-81.13
1402.301;-81.34
1402.5;-81.55
1402.699;-81.23
1402.898;-80.49
1403.097;-82.52
1403.297;-83.42
1403.496;-83.1
1403.695;-83.26
1403.894;-82.73
1404.093;-84.35
1404.292;-82.8
1404.491;-82.87
1404.69;-83.77
1404.889;-83.77
1405.089;-85.81
1405.288;-85.26
1405.487;-83.5
1405.686;-82.38
1405.885;-86.78
1406.084;-80.62
1406.283;-83.26
1406.482;-84.9
1406.681;-83.51
1406.881;-85.4
1407.08;-84.79
1407.279;-83.51
1407.478;-82.74
1407.677;-82.14
1407.876;-81.72
1408.075;-84.06
1408.274;-81.72
1408.474;-81.5
1408.673;-82.53
1408.872;-81.45
1409.071;-83.11
1409.27;-80.68
1409.469;-83.96
1409.668;-84.79
1409.867;-84.36
1410.066;-83.96
1410.266;-82.53
1410.465;-87.17
1410.664;-82.53
1410.863;-83.27
1411.062;-85.54
1411.261;-82.53
1411.46;-83.35
1411.659;-83.35
1411.858;-81.45
1412.058;-82.46
1412.257;-81.9
1412.456;-81.5
1412.655;-85.54
1412.854;-82.2
1413.053;-81.24
1413.252;-83.27
1413.451;-83.51
1413.65;-80.35
1413.85;-83.28
1414.049;-82.21
1414.248;-84.58
1414.447;-81.91
1414.646;-84.92
1414.845;-81.11
1415.044;-81.25
1415.243;-79.39
1415.443;-82.47
1415.642;-80.78
1415.841;-81.68
1416.04;-80.96
1416.239;-81.25
1416.438;-81.06
1416.637;-81.73
1416.836;-81.68
1417.035;-81.85
1417.235;-84.16
1417.434;-82.97
1417.633;-82.54
1417.832;-83.7
1418.031;-83.12
1418.23;-82.27
1418.429;-81.85
1418.628;-84.47
1418.827;-80.6
1419.027;-82.15
1419.226;-79.74
1419.425;-81.91
1419.624;-82.97
1419.823;-83.97
1420.022;-81.73
1420.221;-83.97
1420.42;-82.47
1420.62;-81.91
1420.819;-82.4
1421.018;-80.96
1421.217;-83.2
1421.416;-81.51
1421.615;-81.58
1421.814;-82.83
1422.013;-81.32
1422.212;-82.16
1422.412;-80.04
1422.611;-81.69
1422.81;-81.92
1423.009;-82.04
1423.208;-81.26
1423.407;-82.28
1423.606;-82.16
1423.805;-84.27
1424.004;-85.29
1424.204;-80.44
1424.403;-81.07
1424.602;-82.55
1424.801;-81.47
1425.0;-79.82
