Wavelength (nm);Intensity (dBm)
1131.0;1131.0
1200.0;-61.51
1200.199;-61.45
1200.398;-61.39
1200.597;-61.33
1200.797;-61.28
1200.996;-61.22
1201.195;-61.16
1201.394;-61.15
1201.593;-61.11
1201.792;-61.07
1201.991;-61.01
1202.19;-60.95
1202.389;-60.96
1202.589;-60.94
1202.788;-60.89
1202.987;-60.86
1203.186;-60.84
1203.385;-60.85
1203.584;-60.8
1203.783;-60.78
1203.982;-60.8
1204.181;-60.8
1204.381;-60.78
1204.58;-60.76
1204.779;-60.77
1204.978;-60.81
1205.177;-60.8
1205.376;-60.77
1205.575;-60.77
1205.774;-60.78
1205.974;-60.8
1206.173;-60.74
1206.372;-60.72
1206.571;-60.71
1206.77;-60.68
1206.969;-60.62
1207.168;-60.52
1207.367;-60.47
1207.566;-60.43
1207.766;-60.33
1207.965;-60.26
1208.164;-60.17
1208.363;-60.1
1208.562;-60.04
1208.761;-59.93
1208.96;-59.88
1209.159;-59.84
1209.358;-59.78
1209.558;-59.69
1209.757;-59.62
1209.956;-59.6
1210.155;-59.57
1210.354;-59.48
1210.553;-59.45
1210.752;-59.42
1210.951;-59.42
1211.15;-59.35
1211.35;-59.27
1211.549;-59.29
1211.748;-59.28
1211.947;-59.24
1212.146;-59.19
1212.345;-59.2
1212.544;-59.23
1212.743;-59.18
1212.943;-59.16
1213.142;-59.14
1213.341;-59.15
1213.54;-59.16
1213.739;-59.11
1213.938;-59.12
1214.137;-59.12
1214.336;-59.12
1214.535;-59.08
1214.735;-59.06
1214.934;-59.08
1215.133;-59.05
1215.332;-59.0
1215.531;-58.97
1215.73;-58.96
1215.929;-58.95
1216.128;-58.89
1216.327;-58.85
1216.527;-58.84
1216.726;-58.8
1216.925;-58.79
1217.124;-58.7
1217.323;-58.68
1217.522;-58.68
1217.721;-58.62
1217.92;-58.58
1218.12;-58.56
1218.319;-58.56
1218.518;-58.54
1218.717;-58.47
1218.916;-58.46
1219.115;-58.45
1219.314;-58.42
1219.513;-58.38
1219.712;-58.35
1219.912;-58.33
1220.111;-58.29
1220.31;-58.24
1220.509;-58.19
1220.708;-58.16
1220.907;-58.12
1221.106;-58.02
1221.305;-57.94
1221.504;-57.9
1221.704;-57.83
1221.903;-57.76
1222.102;-57.65
1222.301;-57.59
1222.5;-57.51
1222.699;-57.4
1222.898;-57.31
1223.097;-57.23
1223.297;-57.17
1223.496;-57.06
1223.695;-56.97
1223.894;-56.92
1224.093;-56.84
1224.292;-56.75
1224.491;-56.64
1224.69;-56.58
1224.889;-56.51
1225.089;-56.41
1225.288;-56.31
1225.487;-56.23
1225.686;-56.14
1225.885;-56.04
1226.084;-55.91
1226.283;-55.81
1226.482;-55.72
1226.681;-55.61
1226.881;-55.53
1227.08;-55.45
1227.279;-55.38
1227.478;-55.28
1227.677;-55.22
1227.876;-55.19
1228.075;-55.15
1228.274;-55.11
1228.474;-55.08
1228.673;-55.09
1228.872;-55.11
1229.071;-55.08
1229.27;-55.1
1229.469;-55.12
1229.668;-55.14
1229.867;-55.14
1230.066;-55.15
1230.266;-55.18
1230.465;-55.2
1230.664;-55.2
1230.863;-55.23
1231.062;-55.23
1231.261;-55.22
1231.46;-55.2
1231.659;-55.15
1231.858;-55.1
1232.058;-55.01
1232.257;-54.87
1232.456;-54.72
1232.655;-54.56
1232.854;-54.37
1233.053;-54.15
1233.252;-53.95
1233.451;-53.74
1233.65;-53.53
1233.85;-53.34
1234.049;-53.16
1234.248;-53.0
1234.447;-52.84
1234.646;-52.72
1234.845;-52.64
