Wavelength (nm);Intensity (dBm)
1131.0;1131.0
1200.0;-61.3
1200.199;-61.23
1200.398;-61.16
1200.597;-61.14
1200.797;-61.09
1200.996;-61.04
1201.195;-60.99
1201.394;-60.96
1201.593;-60.94
1201.792;-60.89
1201.991;-60.85
1202.19;-60.79
1202.389;-60.79
1202.589;-60.77
1202.788;-60.72
1202.987;-60.7
1203.186;-60.7
1203.385;-60.68
1203.584;-60.63
1203.783;-60.59
1203.982;-60.62
1204.181;-60.62
1204.381;-60.61
1204.58;-60.59
1204.779;-60.6
1204.978;-60.61
1205.177;-60.63
1205.376;-60.6
1205.575;-60.62
1205.774;-60.64
1205.974;-60.64
1206.173;-60.61
1206.372;-60.59
1206.571;-60.58
1206.77;-60.56
1206.969;-60.5
1207.168;-60.43
1207.367;-60.39
1207.566;-60.36
1207.766;-60.26
1207.965;-60.2
1208.164;-60.15
1208.363;-60.09
1208.562;-60.01
1208.761;-59.9
1208.96;-59.84
1209.159;-59.79
1209.358;-59.72
1209.558;-59.63
1209.757;-59.56
1209.956;-59.53
1210.155;-59.47
1210.354;-59.38
1210.553;-59.3
1210.752;-59.26
1210.951;-59.25
1211.15;-59.16
1211.35;-59.1
1211.549;-59.1
1211.748;-59.05
1211.947;-59.01
1212.146;-58.95
1212.345;-58.95
1212.544;-58.94
1212.743;-58.9
1212.943;-58.86
1213.142;-58.85
1213.341;-58.87
1213.54;-58.87
1213.739;-58.81
1213.938;-58.81
1214.137;-58.83
1214.336;-58.82
1214.535;-58.78
1214.735;-58.76
1214.934;-58.8
1215.133;-58.77
1215.332;-58.71
1215.531;-58.69
1215.73;-58.69
1215.929;-58.68
1216.128;-58.63
1216.327;-58.6
1216.527;-58.59
1216.726;-58.57
1216.925;-58.54
1217.124;-58.47
1217.323;-58.49
1217.522;-58.48
1217.721;-58.44
1217.92;-58.4
1218.12;-58.39
1218.319;-58.4
1218.518;-58.39
1218.717;-58.35
1218.916;-58.34
1219.115;-58.34
1219.314;-58.33
1219.513;-58.3
1219.712;-58.27
1219.912;-58.28
1220.111;-58.26
1220.31;-58.23
1220.509;-58.18
1220.708;-58.16
1220.907;-58.13
1221.106;-58.05
1221.305;-58.0
1221.504;-57.95
1221.704;-57.89
1221.903;-57.81
1222.102;-57.71
1222.301;-57.66
1222.5;-57.57
1222.699;-57.48
1222.898;-57.36
1223.097;-57.28
1223.297;-57.21
1223.496;-57.09
1223.695;-56.98
1223.894;-56.91
1224.093;-56.82
1224.292;-56.71
1224.491;-56.57
1224.69;-56.48
1224.889;-56.39
1225.089;-56.25
1225.288;-56.11
1225.487;-55.99
1225.686;-55.88
1225.885;-55.71
1226.084;-55.58
