Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1200.0000;-61.5500;-57.3300;-4.2200
1200.1990;-61.4700;-57.3100;-4.1600
1200.3980;-61.4300;-57.2900;-4.1400
1200.5970;-61.3800;-57.2600;-4.1200
1200.7970;-61.3400;-57.2100;-4.1300
1200.9960;-61.2600;-57.2000;-4.0600
1201.1950;-61.2100;-57.1800;-4.0300
1201.3940;-61.1700;-57.1100;-4.0600
1201.5930;-61.1300;-57.0700;-4.0600
1201.7920;-61.0800;-57.0200;-4.0600
1201.9910;-60.9900;-56.9800;-4.0100
1202.1900;-60.9400;-56.9500;-3.9900
1202.3890;-60.9000;-56.8700;-4.0300
1202.5890;-60.9000;-56.8000;-4.1000
1202.7880;-60.8300;-56.7800;-4.0500
1202.9870;-60.8000;-56.7300;-4.0700
1203.1860;-60.7700;-56.6800;-4.0900
1203.3850;-60.7400;-56.6000;-4.1400
1203.5840;-60.7200;-56.5700;-4.1500
1203.7830;-60.6900;-56.5400;-4.1500
1203.9820;-60.7200;-56.4900;-4.2300
1204.1810;-60.6700;-56.4500;-4.2200
1204.3810;-60.7000;-56.3900;-4.3100
1204.5800;-60.6900;-56.3900;-4.3000
1204.7790;-60.6700;-56.3700;-4.3000
1204.9780;-60.7200;-56.3100;-4.4100
1205.1770;-60.7400;-56.2800;-4.4600
1205.3760;-60.7500;-56.2700;-4.4800
1205.5750;-60.7700;-56.2500;-4.5200
1205.7740;-60.7900;-56.2300;-4.5600
1205.9740;-60.8100;-56.2100;-4.6000
1206.1730;-60.7600;-56.2000;-4.5600
1206.3720;-60.7400;-56.1800;-4.5600
1206.5710;-60.7600;-56.1600;-4.6000
1206.7700;-60.7400;-56.1400;-4.6000
1206.9690;-60.6600;-56.1000;-4.5600
1207.1680;-60.6000;-56.1000;-4.5000
1207.3670;-60.5600;-56.0800;-4.4800
1207.5660;-60.5300;-56.0200;-4.5100
1207.7660;-60.4200;-56.0100;-4.4100
1207.9650;-60.3500;-55.9800;-4.3700
1208.1640;-60.2700;-55.9400;-4.3300
1208.3630;-60.2400;-55.8900;-4.3500
1208.5620;-60.1400;-55.8600;-4.2800
1208.7610;-60.0500;-55.8300;-4.2200
1208.9600;-59.9800;-55.7800;-4.2000
1209.1590;-59.9600;-55.7300;-4.2300
1209.3580;-59.8900;-55.6600;-4.2300
1209.5580;-59.8100;-55.6200;-4.1900
1209.7570;-59.7200;-55.6000;-4.1200
1209.9560;-59.7100;-55.5300;-4.1800
1210.1550;-59.6600;-55.4600;-4.2000
1210.3540;-59.5800;-55.4200;-4.1600
1210.5530;-59.5400;-55.3900;-4.1500
1210.7520;-59.5100;-55.3400;-4.1700
1210.9510;-59.5000;-55.2800;-4.2200
1211.1500;-59.4400;-55.2400;-4.2000
1211.3500;-59.3800;-55.2000;-4.1800
1211.5490;-59.3800;-55.1800;-4.2000
1211.7480;-59.3800;-55.1500;-4.2300
1211.9470;-59.3400;-55.0800;-4.2600
1212.1460;-59.2900;-55.0700;-4.2200
1212.3450;-59.3000;-55.0500;-4.2500
1212.5440;-59.3100;-55.0100;-4.3000
1212.7430;-59.2700;-54.9800;-4.2900
1212.9430;-59.2400;-54.9500;-4.2900
1213.1420;-59.2600;-54.9200;-4.3400
1213.3410;-59.2900;-54.8900;-4.4000
1213.5400;-59.2600;-54.8700;-4.3900
1213.7390;-59.2300;-54.8500;-4.3800
1213.9380;-59.2200;-54.8000;-4.4200
1214.1370;-59.2400;-54.7900;-4.4500
1214.3360;-59.2300;-54.7300;-4.5000
1214.5350;-59.2000;-54.7000;-4.5000
1214.7350;-59.1700;-54.6800;-4.4900
1214.9340;-59.1800;-54.6300;-4.5500
1215.1330;-59.1500;-54.5800;-4.5700
1215.3320;-59.1100;-54.5300;-4.5800
1215.5310;-59.0800;-54.4900;-4.5900
1215.7300;-59.0600;-54.4500;-4.6100
1215.9290;-59.0400;-54.3900;-4.6500
1216.1280;-58.9900;-54.3300;-4.6600
1216.3270;-58.9200;-54.2600;-4.6600
1216.5270;-58.9200;-54.2300;-4.6900
1216.7260;-58.9000;-54.1800;-4.7200
1216.9250;-58.8500;-54.1000;-4.7500
1217.1240;-58.7700;-54.0500;-4.7200
1217.3230;-58.7700;-53.9900;-4.7800
1217.5220;-58.7700;-53.9400;-4.8300
1217.7210;-58.7100;-53.9000;-4.8100
1217.9200;-58.6500;-53.8400;-4.8100
1218.1200;-58.6200;-53.8000;-4.8200
1218.3190;-58.6300;-53.7500;-4.8800
1218.5180;-58.5800;-53.7100;-4.8700
1218.7170;-58.5400;-53.6600;-4.8800
1218.9160;-58.5100;-53.6300;-4.8800
1219.1150;-58.5000;-53.6100;-4.8900
1219.3140;-58.4800;-53.5500;-4.9300
1219.5130;-58.4300;-53.5300;-4.9000
1219.7120;-58.4000;-53.5100;-4.8900
1219.9120;-58.4000;-53.4600;-4.9400
1220.1110;-58.3600;-53.4300;-4.9300
1220.3100;-58.3100;-53.3900;-4.9200
1220.5090;-58.2500;-53.3500;-4.9000
1220.7080;-58.2200;-53.3300;-4.8900
1220.9070;-58.2000;-53.2800;-4.9200
1221.1060;-58.0900;-53.2200;-4.8700
1221.3050;-58.0400;-53.1900;-4.8500
1221.5040;-57.9900;-53.1400;-4.8500
1221.7040;-57.9200;-53.0800;-4.8400
1221.9030;-57.8500;-53.0300;-4.8200
1222.1020;-57.7500;-52.9700;-4.7800
1222.3010;-57.7100;-52.9100;-4.8000
1222.5000;-57.6300;-52.8400;-4.7900
1222.6990;-57.5400;-52.7900;-4.7500
1222.8980;-57.4600;-52.7100;-4.7500
1223.0970;-57.3900;-52.6500;-4.7400
1223.2970;-57.3500;-52.5800;-4.7700
1223.4960;-57.2400;-52.5000;-4.7400
1223.6950;-57.1600;-52.4500;-4.7100
1223.8940;-57.1100;-52.3800;-4.7300
1224.0930;-57.0500;-52.3100;-4.7400
1224.2920;-56.9900;-52.2400;-4.7500
1224.4910;-56.8600;-52.1800;-4.6800
1224.6900;-56.8200;-52.1300;-4.6900
1224.8890;-56.7500;-52.0500;-4.7000
1225.0890;-56.6600;-52.0100;-4.6500
1225.2880;-56.5500;-51.9300;-4.6200
1225.4870;-56.4500;-51.8700;-4.5800
1225.6860;-56.3700;-51.8400;-4.5300
1225.8850;-56.2500;-51.7800;-4.4700
1226.0840;-56.1000;-51.7300;-4.3700
1226.2830;-56.0200;-51.6800;-4.3400
1226.4820;-55.8900;-51.6200;-4.2700
1226.6810;-55.7400;-51.5900;-4.1500
1226.8810;-55.6300;-51.5400;-4.0900
1227.0800;-55.5200;-51.4800;-4.0400
1227.2790;-55.4300;-51.4400;-3.9900
1227.4780;-55.3100;-51.3800;-3.9300
1227.6770;-55.2200;-51.3400;-3.8800
1227.8760;-55.1500;-51.2700;-3.8800
1228.0750;-55.0800;-51.2200;-3.8600
1228.2740;-55.0200;-51.1500;-3.8700
1228.4740;-54.9500;-51.0800;-3.8700
1228.6730;-54.9400;-51.0300;-3.9100
1228.8720;-54.9000;-50.9500;-3.9500
1229.0710;-54.8600;-50.8900;-3.9700
1229.2700;-54.8600;-50.8100;-4.0500
1229.4690;-54.8600;-50.7200;-4.1400
1229.6680;-54.8700;-50.6700;-4.2000
1229.8670;-54.8600;-50.5700;-4.2900
1230.0660;-54.8700;-50.4900;-4.3800
1230.2660;-54.9100;-50.4100;-4.5000
1230.4650;-54.9300;-50.3300;-4.6000
1230.6640;-54.9600;-50.2600;-4.7000
1230.8630;-54.9900;-50.1800;-4.8100
1231.0620;-55.0300;-50.1100;-4.9200
1231.2610;-55.0900;-50.0500;-5.0400
1231.4600;-55.0800;-49.9800;-5.1000
1231.6590;-55.0900;-49.9300;-5.1600
1231.8580;-55.0800;-49.8500;-5.2300
1232.0580;-55.0300;-49.8100;-5.2200
1232.2570;-54.9400;-49.7400;-5.2000
1232.4560;-54.8300;-49.6800;-5.1500
1232.6550;-54.7100;-49.6400;-5.0700
1232.8540;-54.5300;-49.5700;-4.9600
1233.0530;-54.3300;-49.5300;-4.8000
1233.2520;-54.1300;-49.4600;-4.6700
1233.4510;-53.9100;-49.4100;-4.5000
1233.6500;-53.7100;-49.3700;-4.3400
