Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1200.0000;-61.5100;-57.3300;-4.1800
1200.1990;-61.4500;-57.3100;-4.1400
1200.3980;-61.3900;-57.2900;-4.1000
1200.5970;-61.3300;-57.2600;-4.0700
1200.7970;-61.2800;-57.2100;-4.0700
1200.9960;-61.2200;-57.2000;-4.0200
1201.1950;-61.1600;-57.1800;-3.9800
1201.3940;-61.1500;-57.1100;-4.0400
1201.5930;-61.1100;-57.0700;-4.0400
1201.7920;-61.0700;-57.0200;-4.0500
1201.9910;-61.0100;-56.9800;-4.0300
1202.1900;-60.9500;-56.9500;-4.0000
1202.3890;-60.9600;-56.8700;-4.0900
1202.5890;-60.9400;-56.8000;-4.1400
1202.7880;-60.8900;-56.7800;-4.1100
1202.9870;-60.8600;-56.7300;-4.1300
1203.1860;-60.8400;-56.6800;-4.1600
1203.3850;-60.8500;-56.6000;-4.2500
1203.5840;-60.8000;-56.5700;-4.2300
1203.7830;-60.7800;-56.5400;-4.2400
1203.9820;-60.8000;-56.4900;-4.3100
1204.1810;-60.8000;-56.4500;-4.3500
1204.3810;-60.7800;-56.3900;-4.3900
1204.5800;-60.7600;-56.3900;-4.3700
1204.7790;-60.7700;-56.3700;-4.4000
1204.9780;-60.8100;-56.3100;-4.5000
1205.1770;-60.8000;-56.2800;-4.5200
1205.3760;-60.7700;-56.2700;-4.5000
1205.5750;-60.7700;-56.2500;-4.5200
1205.7740;-60.7800;-56.2300;-4.5500
1205.9740;-60.8000;-56.2100;-4.5900
1206.1730;-60.7400;-56.2000;-4.5400
1206.3720;-60.7200;-56.1800;-4.5400
1206.5710;-60.7100;-56.1600;-4.5500
1206.7700;-60.6800;-56.1400;-4.5400
1206.9690;-60.6200;-56.1000;-4.5200
1207.1680;-60.5200;-56.1000;-4.4200
1207.3670;-60.4700;-56.0800;-4.3900
1207.5660;-60.4300;-56.0200;-4.4100
1207.7660;-60.3300;-56.0100;-4.3200
1207.9650;-60.2600;-55.9800;-4.2800
1208.1640;-60.1700;-55.9400;-4.2300
1208.3630;-60.1000;-55.8900;-4.2100
1208.5620;-60.0400;-55.8600;-4.1800
1208.7610;-59.9300;-55.8300;-4.1000
1208.9600;-59.8800;-55.7800;-4.1000
1209.1590;-59.8400;-55.7300;-4.1100
