Wavelength (nm);Intensity (dBm)
1201.0;1201.0
1250.0;-42.99
1250.1;-42.85
1250.2;-42.7
1250.3;-42.56
1250.4;-42.42
1250.5;-42.28
1250.6;-42.15
1250.7;-42.02
1250.8;-41.9
1250.9;-41.78
1251.0;-41.66
1251.1;-41.56
1251.2;-41.45
1251.3;-41.35
1251.4;-41.26
1251.5;-41.17
1251.6;-41.08
1251.7;-41.0
1251.8;-40.93
1251.9;-40.86
1252.0;-40.8
1252.1;-40.74
1252.2;-40.68
1252.3;-40.64
1252.4;-40.59
1252.5;-40.56
1252.6;-40.52
1252.7;-40.5
1252.8;-40.48
1252.9;-40.46
1253.0;-40.45
1253.1;-40.44
1253.2;-40.44
1253.3;-40.45
1253.4;-40.46
1253.5;-40.47
1253.6;-40.49
1253.7;-40.52
1253.8;-40.55
1253.9;-40.58
1254.0;-40.62
1254.1;-40.67
1254.2;-40.71
1254.3;-40.77
1254.4;-40.82
1254.5;-40.88
1254.6;-40.94
1254.7;-41.0
1254.8;-41.06
1254.9;-41.12
1255.0;-41.18
1255.1;-41.24
1255.2;-41.29
1255.3;-41.34
1255.4;-41.38
1255.5;-41.42
1255.6;-41.45
1255.7;-41.46
1255.8;-41.46
1255.9;-41.45
1256.0;-41.43
1256.1;-41.38
1256.2;-41.32
1256.3;-41.24
1256.4;-41.14
1256.5;-41.02
1256.6;-40.89
1256.7;-40.73
1256.8;-40.56
1256.9;-40.37
1257.0;-40.16
1257.1;-39.95
1257.2;-39.72
1257.3;-39.48
1257.4;-39.23
1257.5;-38.97
1257.6;-38.71
1257.7;-38.45
1257.8;-38.18
1257.9;-37.91
1258.0;-37.64
1258.1;-37.36
1258.2;-37.09
1258.3;-36.82
1258.4;-36.55
1258.5;-36.29
1258.6;-36.03
1258.7;-35.77
1258.8;-35.52
1258.9;-35.27
1259.0;-35.03
1259.1;-34.79
1259.2;-34.56
1259.3;-34.33
1259.4;-34.1
1259.5;-33.88
1259.6;-33.67
1259.7;-33.46
1259.8;-33.25
1259.9;-33.05
1260.0;-32.86
1260.1;-32.67
1260.2;-32.48
1260.3;-32.31
1260.4;-32.13
1260.5;-31.96
1260.6;-31.8
1260.7;-31.64
1260.8;-31.48
1260.9;-31.33
1261.0;-31.19
1261.1;-31.05
1261.2;-30.91
