Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1200.0000;-60.4200;-55.6000;-4.8200
1200.1990;-60.3300;-55.5600;-4.7700
1200.3980;-60.2700;-55.5400;-4.7300
1200.5970;-60.2800;-55.5000;-4.7800
1200.7970;-60.2000;-55.4800;-4.7200
1200.9960;-60.1200;-55.4400;-4.6800
1201.1950;-60.0800;-55.3900;-4.6900
1201.3940;-60.0700;-55.3500;-4.7200
1201.5930;-60.0600;-55.3200;-4.7400
1201.7920;-59.9700;-55.2800;-4.6900
1201.9910;-59.8900;-55.2100;-4.6800
1202.1900;-59.9000;-55.1600;-4.7400
1202.3890;-59.8900;-55.1100;-4.7800
1202.5890;-59.8300;-55.0800;-4.7500
1202.7880;-59.7700;-55.0100;-4.7600
1202.9870;-59.7500;-54.9400;-4.8100
1203.1860;-59.7500;-54.8900;-4.8600
1203.3850;-59.7100;-54.8700;-4.8400
1203.5840;-59.6300;-54.8100;-4.8200
1203.7830;-59.5900;-54.7500;-4.8400
1203.9820;-59.6100;-54.7200;-4.8900
1204.1810;-59.6300;-54.6800;-4.9500
1204.3810;-59.5700;-54.6400;-4.9300
1204.5800;-59.5300;-54.6000;-4.9300
1204.7790;-59.5800;-54.5800;-5.0000
1204.9780;-59.5900;-54.5500;-5.0400
1205.1770;-59.5700;-54.5100;-5.0600
1205.3760;-59.5300;-54.4800;-5.0500
1205.5750;-59.5800;-54.4600;-5.1200
1205.7740;-59.6200;-54.4400;-5.1800
1205.9740;-59.6000;-54.4400;-5.1600
1206.1730;-59.5600;-54.4100;-5.1500
1206.3720;-59.5600;-54.3800;-5.1800
1206.5710;-59.6100;-54.3500;-5.2600
1206.7700;-59.5900;-54.3400;-5.2500
1206.9690;-59.5000;-54.3100;-5.1900
1207.1680;-59.4600;-54.2700;-5.1900
1207.3670;-59.4700;-54.2400;-5.2300
1207.5660;-59.4300;-54.2200;-5.2100
1207.7660;-59.3100;-54.1900;-5.1200
1207.9650;-59.2300;-54.1500;-5.0800
1208.1640;-59.2400;-54.0900;-5.1500
1208.3630;-59.1500;-54.0700;-5.0800
1208.5620;-59.0500;-54.0300;-5.0200
1208.7610;-58.9600;-53.9700;-4.9900
1208.9600;-58.9100;-53.9200;-4.9900
1209.1590;-58.8700;-53.8600;-5.0100
1209.3580;-58.7700;-53.8200;-4.9500
1209.5580;-58.6600;-53.7600;-4.9000
1209.7570;-58.6100;-53.7100;-4.9000
1209.9560;-58.5900;-53.6500;-4.9400
1210.1550;-58.5100;-53.6100;-4.9000
1210.3540;-58.3900;-53.5700;-4.8200
1210.5530;-58.3400;-53.4900;-4.8500
1210.7520;-58.3500;-53.4400;-4.9100
1210.9510;-58.3000;-53.4100;-4.8900
1211.1500;-58.1900;-53.3500;-4.8400
1211.3500;-58.1300;-53.3100;-4.8200
1211.5490;-58.1600;-53.2600;-4.9000
1211.7480;-58.1400;-53.2300;-4.9100
1211.9470;-58.0500;-53.2100;-4.8400
1212.1460;-58.0100;-53.1600;-4.8500
1212.3450;-58.0400;-53.1200;-4.9200
1212.5440;-58.0500;-53.1000;-4.9500
1212.7430;-58.0000;-53.0700;-4.9300
1212.9430;-57.9600;-53.0300;-4.9300
