Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1200.0000;-60.6300;-55.6000;-5.0300
1200.1990;-60.6400;-55.5600;-5.0800
1200.3980;-60.6500;-55.5400;-5.1100
1200.5970;-60.6400;-55.5000;-5.1400
1200.7970;-60.5900;-55.4800;-5.1100
1200.9960;-60.5800;-55.4400;-5.1400
1201.1950;-60.5900;-55.3900;-5.2000
1201.3940;-60.5800;-55.3500;-5.2300
1201.5930;-60.5700;-55.3200;-5.2500
1201.7920;-60.4900;-55.2800;-5.2100
1201.9910;-60.5000;-55.2100;-5.2900
1202.1900;-60.5000;-55.1600;-5.3400
1202.3890;-60.4600;-55.1100;-5.3500
1202.5890;-60.4100;-55.0800;-5.3300
1202.7880;-60.3700;-55.0100;-5.3600
1202.9870;-60.4000;-54.9400;-5.4600
1203.1860;-60.3600;-54.8900;-5.4700
1203.3850;-60.3200;-54.8700;-5.4500
1203.5840;-60.3100;-54.8100;-5.5000
1203.7830;-60.3200;-54.7500;-5.5700
1203.9820;-60.3600;-54.7200;-5.6400
1204.1810;-60.3500;-54.6800;-5.6700
1204.3810;-60.3100;-54.6400;-5.6700
1204.5800;-60.3600;-54.6000;-5.7600
1204.7790;-60.3900;-54.5800;-5.8100
1204.9780;-60.4000;-54.5500;-5.8500
1205.1770;-60.4000;-54.5100;-5.8900
1205.3760;-60.3600;-54.4800;-5.8800
1205.5750;-60.3900;-54.4600;-5.9300
1205.7740;-60.4000;-54.4400;-5.9600
1205.9740;-60.3700;-54.4400;-5.9300
1206.1730;-60.2800;-54.4100;-5.8700
1206.3720;-60.2500;-54.3800;-5.8700
1206.5710;-60.2800;-54.3500;-5.9300
1206.7700;-60.1700;-54.3400;-5.8300
1206.9690;-60.0600;-54.3100;-5.7500
1207.1680;-59.9900;-54.2700;-5.7200
1207.3670;-59.9700;-54.2400;-5.7300
1207.5660;-59.8800;-54.2200;-5.6600
1207.7660;-59.7400;-54.1900;-5.5500
1207.9650;-59.6900;-54.1500;-5.5400
1208.1640;-59.6600;-54.0900;-5.5700
1208.3630;-59.5600;-54.0700;-5.4900
1208.5620;-59.4400;-54.0300;-5.4100
1208.7610;-59.3800;-53.9700;-5.4100
1208.9600;-59.3300;-53.9200;-5.4100
1209.1590;-59.2500;-53.8600;-5.3900
1209.3580;-59.1500;-53.8200;-5.3300
1209.5580;-59.0700;-53.7600;-5.3100
