Wavelength (nm);Intensity (dBm)
1751.0;1751.0
1550.0;-90.22
1550.1;-90.89
1550.2;-94.09
1550.3;-99.45
1550.4;-97.01
1550.5;-105.38
1550.6;-210.0
1550.7;-91.81
1550.8;-89.48
1550.9;-89.24
1551.0;-89.03
1551.1;-90.55
1551.2;-92.41
1551.3;-94.38
1551.4;-98.19
1551.5;-92.05
1551.6;-88.88
1551.7;-89.38
1551.8;-93.55
1551.9;-111.83
1552.0;-105.33
1552.1;-93.26
1552.2;-89.25
1552.3;-86.83
1552.4;-85.82
1552.5;-86.1
1552.6;-86.33
1552.7;-85.6
1552.8;-84.9
1552.9;-84.77
1553.0;-85.51
1553.1;-87.26
1553.2;-89.1
1553.3;-90.85
1553.4;-93.9
1553.5;-97.49
1553.6;-101.39
1553.7;-210.0
1553.8;-210.0
1553.9;-210.0
1554.0;-210.0
1554.1;-210.0
1554.2;-99.7
1554.3;-95.43
1554.4;-93.45
1554.5;-98.04
1554.6;-210.0
1554.7;-210.0
1554.8;-210.0
1554.9;-210.0
1555.0;-210.0
1555.1;-210.0
1555.2;-210.0
1555.3;-210.0
1555.4;-210.0
1555.5;-210.0
1555.6;-210.0
1555.7;-210.0
1555.8;-97.04
1555.9;-92.26
1556.0;-90.68
1556.1;-89.04
1556.2;-87.75
1556.3;-86.99
1556.4;-86.93
1556.5;-87.56
1556.6;-87.84
1556.7;-88.01
1556.8;-88.47
1556.9;-88.09
1557.0;-88.15
1557.1;-89.29
1557.2;-90.46
1557.3;-91.3
1557.4;-92.04
1557.5;-97.43
1557.6;-210.0
1557.7;-210.0
1557.8;-210.0
1557.9;-210.0
1558.0;-210.0
1558.1;-210.0
1558.2;-210.0
1558.3;-210.0
1558.4;-210.0
1558.5;-117.68
1558.6;-94.18
1558.7;-91.9
1558.8;-89.28
1558.9;-87.94
1559.0;-87.41
1559.1;-87.01
1559.2;-86.69
1559.3;-86.34
1559.4;-85.71
1559.5;-85.16
1559.6;-84.74
