Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1200.0000;-60.3400;-55.6000;-4.7400
1200.1990;-60.2600;-55.5600;-4.7000
1200.3980;-60.2600;-55.5400;-4.7200
1200.5970;-60.2600;-55.5000;-4.7600
1200.7970;-60.2300;-55.4800;-4.7500
1200.9960;-60.1600;-55.4400;-4.7200
1201.1950;-60.1100;-55.3900;-4.7200
1201.3940;-60.1300;-55.3500;-4.7800
1201.5930;-60.1300;-55.3200;-4.8100
1201.7920;-60.0800;-55.2800;-4.8000
1201.9910;-59.9900;-55.2100;-4.7800
1202.1900;-60.0300;-55.1600;-4.8700
1202.3890;-60.0200;-55.1100;-4.9100
1202.5890;-59.9500;-55.0800;-4.8700
1202.7880;-59.9100;-55.0100;-4.9000
1202.9870;-59.8800;-54.9400;-4.9400
1203.1860;-59.8900;-54.8900;-5.0000
1203.3850;-59.8500;-54.8700;-4.9800
1203.5840;-59.7800;-54.8100;-4.9700
1203.7830;-59.7400;-54.7500;-4.9900
1203.9820;-59.7400;-54.7200;-5.0200
1204.1810;-59.7300;-54.6800;-5.0500
1204.3810;-59.6700;-54.6400;-5.0300
1204.5800;-59.6100;-54.6000;-5.0100
1204.7790;-59.6400;-54.5800;-5.0600
1204.9780;-59.6200;-54.5500;-5.0700
1205.1770;-59.5600;-54.5100;-5.0500
1205.3760;-59.5200;-54.4800;-5.0400
1205.5750;-59.5400;-54.4600;-5.0800
1205.7740;-59.5600;-54.4400;-5.1200
1205.9740;-59.5200;-54.4400;-5.0800
1206.1730;-59.4500;-54.4100;-5.0400
1206.3720;-59.4400;-54.3800;-5.0600
1206.5710;-59.4500;-54.3500;-5.1000
1206.7700;-59.4100;-54.3400;-5.0700
1206.9690;-59.3000;-54.3100;-4.9900
1207.1680;-59.2300;-54.2700;-4.9600
1207.3670;-59.2500;-54.2400;-5.0100
1207.5660;-59.2100;-54.2200;-4.9900
1207.7660;-59.0800;-54.1900;-4.8900
1207.9650;-59.0100;-54.1500;-4.8600
1208.1640;-59.0000;-54.0900;-4.9100
1208.3630;-58.9600;-54.0700;-4.8900
1208.5620;-58.8400;-54.0300;-4.8100
1208.7610;-58.7600;-53.9700;-4.7900
