Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1200.0000;-60.7900;-55.6000;-5.1900
1200.1990;-60.7300;-55.5600;-5.1700
1200.3980;-60.7400;-55.5400;-5.2000
1200.5970;-60.7500;-55.5000;-5.2500
1200.7970;-60.7600;-55.4800;-5.2800
1200.9960;-60.6800;-55.4400;-5.2400
1201.1950;-60.6800;-55.3900;-5.2900
1201.3940;-60.7200;-55.3500;-5.3700
1201.5930;-60.7000;-55.3200;-5.3800
1201.7920;-60.6500;-55.2800;-5.3700
1201.9910;-60.6000;-55.2100;-5.3900
1202.1900;-60.6200;-55.1600;-5.4600
1202.3890;-60.6200;-55.1100;-5.5100
1202.5890;-60.5500;-55.0800;-5.4700
1202.7880;-60.4700;-55.0100;-5.4600
1202.9870;-60.4500;-54.9400;-5.5100
1203.1860;-60.4300;-54.8900;-5.5400
1203.3850;-60.3700;-54.8700;-5.5000
1203.5840;-60.2400;-54.8100;-5.4300
1203.7830;-60.1900;-54.7500;-5.4400
1203.9820;-60.1900;-54.7200;-5.4700
1204.1810;-60.1500;-54.6800;-5.4700
1204.3810;-60.0700;-54.6400;-5.4300
1204.5800;-60.0300;-54.6000;-5.4300
1204.7790;-60.0200;-54.5800;-5.4400
1204.9780;-60.0100;-54.5500;-5.4600
1205.1770;-59.9500;-54.5100;-5.4400
1205.3760;-59.9300;-54.4800;-5.4500
1205.5750;-59.9700;-54.4600;-5.5100
1205.7740;-60.0100;-54.4400;-5.5700
1205.9740;-59.9700;-54.4400;-5.5300
1206.1730;-59.9400;-54.4100;-5.5300
1206.3720;-59.9600;-54.3800;-5.5800
1206.5710;-60.0100;-54.3500;-5.6600
1206.7700;-60.0200;-54.3400;-5.6800
1206.9690;-59.9200;-54.3100;-5.6100
1207.1680;-59.8800;-54.2700;-5.6100
1207.3670;-59.9300;-54.2400;-5.6900
1207.5660;-59.9200;-54.2200;-5.7000
1207.7660;-59.8300;-54.1900;-5.6400
1207.9650;-59.7900;-54.1500;-5.6400
1208.1640;-59.8100;-54.0900;-5.7200
1208.3630;-59.8000;-54.0700;-5.7300
1208.5620;-59.7200;-54.0300;-5.6900
1208.7610;-59.6600;-53.9700;-5.6900
1208.9600;-59.6800;-53.9200;-5.7600
1209.1590;-59.6700;-53.8600;-5.8100
1209.3580;-59.6200;-53.8200;-5.8000
1209.5580;-59.5300;-53.7600;-5.7700
1209.7570;-59.5200;-53.7100;-5.8100
1209.9560;-59.5500;-53.6500;-5.9000
1210.1550;-59.4900;-53.6100;-5.8800
1210.3540;-59.3900;-53.5700;-5.8200
1210.5530;-59.3600;-53.4900;-5.8700
1210.7520;-59.3800;-53.4400;-5.9400
1210.9510;-59.3200;-53.4100;-5.9100
1211.1500;-59.2000;-53.3500;-5.8500
1211.3500;-59.1500;-53.3100;-5.8400
1211.5490;-59.1600;-53.2600;-5.9000
1211.7480;-59.1100;-53.2300;-5.8800
1211.9470;-59.0000;-53.2100;-5.7900
1212.1460;-58.9400;-53.1600;-5.7800
1212.3450;-58.9700;-53.1200;-5.8500
1212.5440;-58.9600;-53.1000;-5.8600
1212.7430;-58.8800;-53.0700;-5.8100
1212.9430;-58.8300;-53.0300;-5.8000
1213.1420;-58.8500;-52.9900;-5.8600
1213.3410;-58.8600;-52.9800;-5.8800
1213.5400;-58.7900;-52.9500;-5.8400
1213.7390;-58.7500;-52.9000;-5.8500
1213.9380;-58.7600;-52.8700;-5.8900
1214.1370;-58.7600;-52.8300;-5.9300
1214.3360;-58.7200;-52.8000;-5.9200
1214.5350;-58.6300;-52.7600;-5.8700
1214.7350;-58.6400;-52.7100;-5.9300
1214.9340;-58.6500;-52.6600;-5.9900
1215.1330;-58.5800;-52.6200;-5.9600
1215.3320;-58.4900;-52.5800;-5.9100
1215.5310;-58.4900;-52.5100;-5.9800
1215.7300;-58.5100;-52.4500;-6.0600
1215.9290;-58.4300;-52.4200;-6.0100
1216.1280;-58.3300;-52.3500;-5.9800
1216.3270;-58.3300;-52.2900;-6.0400
1216.5270;-58.3500;-52.2300;-6.1200
1216.7260;-58.3000;-52.1700;-6.1300
1216.9250;-58.2000;-52.1200;-6.0800
1217.1240;-58.1400;-52.0500;-6.0900
1217.3230;-58.1600;-52.0000;-6.1600
1217.5220;-58.1100;-51.9400;-6.1700
1217.7210;-58.0100;-51.8900;-6.1200
1217.9200;-57.9200;-51.8400;-6.0800
1218.1200;-57.8900;-51.7700;-6.1200
1218.3190;-57.8400;-51.7400;-6.1000
1218.5180;-57.7000;-51.6900;-6.0100
1218.7170;-57.6000;-51.6500;-5.9500
1218.9160;-57.5400;-51.6100;-5.9300
1219.1150;-57.4700;-51.5600;-5.9100
1219.3140;-57.3400;-51.5400;-5.8000
1219.5130;-57.2400;-51.5000;-5.7400
1219.7120;-57.2000;-51.4500;-5.7500
1219.9120;-57.1300;-51.4200;-5.7100
1220.1110;-57.0200;-51.3900;-5.6300
1220.3100;-56.9300;-51.3500;-5.5800
1220.5090;-56.8800;-51.3000;-5.5800
1220.7080;-56.8500;-51.2600;-5.5900
1220.9070;-56.7500;-51.2200;-5.5300
1221.1060;-56.6400;-51.1600;-5.4800
1221.3050;-56.6100;-51.1200;-5.4900
1221.5040;-56.5700;-51.0400;-5.5300
1221.7040;-56.4800;-50.9900;-5.4900
1221.9030;-56.3900;-50.9400;-5.4500
1222.1020;-56.3300;-50.8600;-5.4700
1222.3010;-56.2900;-50.8100;-5.4800
1222.5000;-56.2000;-50.7300;-5.4700
1222.6990;-56.1200;-50.6700;-5.4500
1222.8980;-56.0600;-50.5900;-5.4700
1223.0970;-56.0400;-50.5100;-5.5300
1223.2970;-55.9900;-50.4600;-5.5300
1223.4960;-55.9100;-50.3700;-5.5400
1223.6950;-55.9100;-50.3000;-5.6100
1223.8940;-55.9100;-50.2400;-5.6700
1224.0930;-55.8900;-50.1600;-5.7300
1224.2920;-55.8600;-50.1100;-5.7500
1224.4910;-55.8900;-50.0200;-5.8700
1224.6900;-55.9300;-49.9600;-5.9700
1224.8890;-55.9300;-49.9000;-6.0300
1225.0890;-55.9400;-49.8400;-6.1000
1225.2880;-55.9700;-49.7800;-6.1900
1225.4870;-56.0200;-49.7100;-6.3100
1225.6860;-56.0300;-49.6600;-6.3700
1225.8850;-56.0200;-49.6200;-6.4000
1226.0840;-56.0300;-49.5500;-6.4800
1226.2830;-56.0500;-49.5100;-6.5400
1226.4820;-56.0100;-49.4400;-6.5700
1226.6810;-55.9600;-49.4000;-6.5600
1226.8810;-55.9400;-49.3500;-6.5900
1227.0800;-55.9100;-49.2800;-6.6300
1227.2790;-55.8300;-49.2400;-6.5900
1227.4780;-55.7200;-49.1700;-6.5500
1227.6770;-55.6700;-49.1100;-6.5600
1227.8760;-55.6100;-49.0500;-6.5600
1228.0750;-55.4900;-48.9800;-6.5100
1228.2740;-55.3700;-48.9200;-6.4500
1228.4740;-55.2700;-48.8400;-6.4300
1228.6730;-55.2000;-48.7700;-6.4300
1228.8720;-55.0500;-48.7000;-6.3500
1229.0710;-54.9100;-48.6200;-6.2900
1229.2700;-54.8000;-48.5500;-6.2500
1229.4690;-54.6800;-48.4500;-6.2300
1229.6680;-54.5500;-48.3800;-6.1700
1229.8670;-54.3800;-48.3000;-6.0800
1230.0660;-54.2700;-48.2100;-6.0600
1230.2660;-54.1600;-48.1300;-6.0300
1230.4650;-54.0200;-48.0400;-5.9800
1230.6640;-53.9000;-47.9600;-5.9400
1230.8630;-53.8200;-47.8900;-5.9300
1231.0620;-53.7400;-47.8100;-5.9300
1231.2610;-53.6600;-47.7600;-5.9000
1231.4600;-53.5900;-47.6800;-5.9100
1231.6590;-53.5700;-47.6200;-5.9500
1231.8580;-53.5300;-47.5500;-5.9800
1232.0580;-53.5000;-47.5000;-6.0000
1232.2570;-53.4800;-47.4400;-6.0400
1232.4560;-53.5100;-47.3700;-6.1400
1232.6550;-53.5300;-47.3200;-6.2100
1232.8540;-53.5100;-47.2500;-6.2600
1233.0530;-53.5400;-47.2000;-6.3400
1233.2520;-53.5700;-47.1500;-6.4200
1233.4510;-53.5700;-47.0700;-6.5000
1233.6500;-53.5700;-47.0300;-6.5400
1233.8500;-53.5600;-46.9500;-6.6100
1234.0490;-53.5800;-46.8900;-6.6900
1234.2480;-53.5300;-46.8300;-6.7000
1234.4470;-53.4700;-46.7500;-6.7200
1234.6460;-53.4600;-46.6900;-6.7700
1234.8450;-53.4100;-46.6100;-6.8000
1235.0440;-53.3200;-46.5300;-6.7900
1235.2430;-53.2200;-46.4600;-6.7600
1235.4430;-53.1300;-46.3600;-6.7700
1235.6420;-53.0500;-46.2900;-6.7600
1235.8410;-52.9000;-46.1900;-6.7100
1236.0400;-52.7700;-46.1100;-6.6600
1236.2390;-52.6400;-46.0200;-6.6200
1236.4380;-52.5000;-45.9100;-6.5900
1236.6370;-52.3400;-45.8300;-6.5100
1236.8360;-52.1700;-45.7400;-6.4300
1237.0350;-52.0500;-45.6700;-6.3800
1237.2350;-51.8700;-45.5700;-6.3000
1237.4340;-51.6900;-45.4700;-6.2200
1237.6330;-51.5500;-45.3900;-6.1600
1237.8320;-51.4200;-45.3100;-6.1100
1238.0310;-51.2700;-45.2400;-6.0300
1238.2300;-51.1200;-45.1500;-5.9700
1238.4290;-51.0100;-45.0700;-5.9400
1238.6280;-50.9200;-45.0000;-5.9200
1238.8270;-50.8000;-44.9100;-5.8900
1239.0270;-50.7300;-44.8500;-5.8800
1239.2260;-50.6600;-44.7500;-5.9100
1239.4250;-50.6000;-44.6700;-5.9300
1239.6240;-50.5500;-44.6000;-5.9500
1239.8230;-50.4900;-44.5100;-5.9800
1240.0220;-50.4900;-44.4400;-6.0500
1240.2210;-50.4400;-44.3400;-6.1000
1240.4200;-50.3800;-44.2500;-6.1300
1240.6200;-50.3600;-44.1600;-6.2000
1240.8190;-50.3100;-44.0600;-6.2500
1241.0180;-50.2400;-43.9600;-6.2800
1241.2170;-50.1500;-43.8500;-6.3000
1241.4160;-50.0800;-43.7400;-6.3400
1241.6150;-49.9800;-43.6200;-6.3600
1241.8140;-49.8600;-43.5000;-6.3600
1242.0130;-49.7400;-43.4000;-6.3400
1242.2120;-49.6000;-43.2700;-6.3300
1242.4120;-49.4500;-43.1500;-6.3000
1242.6110;-49.2700;-43.0300;-6.2400
1242.8100;-49.1000;-42.9000;-6.2000
1243.0090;-48.9300;-42.7800;-6.1500
1243.2080;-48.7200;-42.6500;-6.0700
1243.4070;-48.5200;-42.5300;-5.9900
1243.6060;-48.3100;-42.4000;-5.9100
1243.8050;-48.1200;-42.2800;-5.8400
1244.0040;-47.9000;-42.1600;-5.7400
1244.2040;-47.6800;-42.0300;-5.6500
1244.4030;-47.4900;-41.9100;-5.5800
1244.6020;-47.2800;-41.7900;-5.4900
1244.8010;-47.0800;-41.6700;-5.4100
1245.0000;-46.9000;-41.5700;-5.3300
1245.1990;-46.7300;-41.4400;-5.2900
1245.3980;-46.5600;-41.3300;-5.2300
1245.5970;-46.4000;-41.2000;-5.2000
1245.7970;-46.2600;-41.0800;-5.1800
1245.9960;-46.1500;-40.9700;-5.1800
1246.1950;-46.0300;-40.8400;-5.1900
1246.3940;-45.9400;-40.7200;-5.2200
1246.5930;-45.8600;-40.5800;-5.2800
1246.7920;-45.8200;-40.4600;-5.3600
1246.9910;-45.7700;-40.3300;-5.4400
1247.1900;-45.7400;-40.1900;-5.5500
1247.3890;-45.7400;-40.0500;-5.6900
1247.5890;-45.7200;-39.9100;-5.8100
1247.7880;-45.7200;-39.7700;-5.9500
1247.9870;-45.7300;-39.6400;-6.0900
1248.1860;-45.7300;-39.4900;-6.2400
1248.3850;-45.7500;-39.3500;-6.4000
1248.5840;-45.7200;-39.2000;-6.5200
1248.7830;-45.7000;-39.0500;-6.6500
1248.9820;-45.6600;-38.9300;-6.7300
1249.1810;-45.5800;-38.7700;-6.8100
1249.3810;-45.5000;-38.6400;-6.8600
1249.5800;-45.3400;-38.5000;-6.8400
1249.7790;-45.1700;-38.3600;-6.8100
1249.9780;-44.9500;-38.2200;-6.7300
1250.1770;-44.6900;-38.0800;-6.6100
1250.3760;-44.4100;-37.9500;-6.4600
1250.5750;-44.0700;-37.8100;-6.2600
1250.7740;-43.7100;-37.6800;-6.0300
1250.9740;-43.3500;-37.5700;-5.7800
1251.1730;-42.9500;-37.4300;-5.5200
