Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1200.0000;-61.0900;-55.6000;-5.4900
1200.1990;-61.0900;-55.5600;-5.5300
1200.3980;-61.0800;-55.5400;-5.5400
1200.5970;-61.1100;-55.5000;-5.6100
1200.7970;-61.0800;-55.4800;-5.6000
1200.9960;-61.0900;-55.4400;-5.6500
1201.1950;-61.1000;-55.3900;-5.7100
1201.3940;-61.0800;-55.3500;-5.7300
1201.5930;-61.0700;-55.3200;-5.7500
1201.7920;-61.0300;-55.2800;-5.7500
1201.9910;-60.9900;-55.2100;-5.7800
1202.1900;-60.9700;-55.1600;-5.8100
1202.3890;-60.9100;-55.1100;-5.8000
1202.5890;-60.8000;-55.0800;-5.7200
1202.7880;-60.7500;-55.0100;-5.7400
1202.9870;-60.7200;-54.9400;-5.7800
1203.1860;-60.6600;-54.8900;-5.7700
1203.3850;-60.5400;-54.8700;-5.6700
1203.5840;-60.4300;-54.8100;-5.6200
1203.7830;-60.4100;-54.7500;-5.6600
1203.9820;-60.3600;-54.7200;-5.6400
1204.1810;-60.2800;-54.6800;-5.6000
1204.3810;-60.1700;-54.6400;-5.5300
1204.5800;-60.1400;-54.6000;-5.5400
1204.7790;-60.1300;-54.5800;-5.5500
1204.9780;-60.0300;-54.5500;-5.4800
1205.1770;-59.9700;-54.5100;-5.4600
1205.3760;-59.9100;-54.4800;-5.4300
1205.5750;-59.9100;-54.4600;-5.4500
1205.7740;-59.8900;-54.4400;-5.4500
1205.9740;-59.8300;-54.4400;-5.3900
1206.1730;-59.7600;-54.4100;-5.3500
1206.3720;-59.7400;-54.3800;-5.3600
1206.5710;-59.7200;-54.3500;-5.3700
1206.7700;-59.6800;-54.3400;-5.3400
1206.9690;-59.5800;-54.3100;-5.2700
1207.1680;-59.5700;-54.2700;-5.3000
1207.3670;-59.6000;-54.2400;-5.3600
1207.5660;-59.5400;-54.2200;-5.3200
1207.7660;-59.4900;-54.1900;-5.3000
1207.9650;-59.4800;-54.1500;-5.3300
1208.1640;-59.4800;-54.0900;-5.3900
1208.3630;-59.4800;-54.0700;-5.4100
1208.5620;-59.4500;-54.0300;-5.4200
1208.7610;-59.4500;-53.9700;-5.4800
1208.9600;-59.4600;-53.9200;-5.5400
1209.1590;-59.4700;-53.8600;-5.6100
1209.3580;-59.4800;-53.8200;-5.6600
1209.5580;-59.4300;-53.7600;-5.6700
1209.7570;-59.4600;-53.7100;-5.7500
1209.9560;-59.4800;-53.6500;-5.8300
1210.1550;-59.4700;-53.6100;-5.8600
1210.3540;-59.4300;-53.5700;-5.8600
1210.5530;-59.4200;-53.4900;-5.9300
1210.7520;-59.4400;-53.4400;-6.0000
1210.9510;-59.4100;-53.4100;-6.0000
1211.1500;-59.3500;-53.3500;-6.0000
1211.3500;-59.3300;-53.3100;-6.0200
1211.5490;-59.3200;-53.2600;-6.0600
1211.7480;-59.3200;-53.2300;-6.0900
1211.9470;-59.2300;-53.2100;-6.0200
1212.1460;-59.1800;-53.1600;-6.0200
1212.3450;-59.1900;-53.1200;-6.0700
1212.5440;-59.1500;-53.1000;-6.0500
1212.7430;-59.0800;-53.0700;-6.0100
1212.9430;-59.0000;-53.0300;-5.9700
1213.1420;-58.9600;-52.9900;-5.9700
1213.3410;-58.9100;-52.9800;-5.9300
1213.5400;-58.8300;-52.9500;-5.8800
1213.7390;-58.7400;-52.9000;-5.8400
1213.9380;-58.6400;-52.8700;-5.7700
1214.1370;-58.5800;-52.8300;-5.7500
1214.3360;-58.4800;-52.8000;-5.6800
1214.5350;-58.3300;-52.7600;-5.5700
1214.7350;-58.2400;-52.7100;-5.5300
1214.9340;-58.1500;-52.6600;-5.4900
1215.1330;-58.0300;-52.6200;-5.4100
1215.3320;-57.9000;-52.5800;-5.3200
1215.5310;-57.8100;-52.5100;-5.3000
1215.7300;-57.7500;-52.4500;-5.3000
1215.9290;-57.6400;-52.4200;-5.2200
1216.1280;-57.5400;-52.3500;-5.1900
1216.3270;-57.4700;-52.2900;-5.1800
1216.5270;-57.4300;-52.2300;-5.2000
1216.7260;-57.3900;-52.1700;-5.2200
1216.9250;-57.3100;-52.1200;-5.1900
1217.1240;-57.2600;-52.0500;-5.2100
1217.3230;-57.2500;-52.0000;-5.2500
1217.5220;-57.2300;-51.9400;-5.2900
1217.7210;-57.2000;-51.8900;-5.3100
1217.9200;-57.1800;-51.8400;-5.3400
1218.1200;-57.1800;-51.7700;-5.4100
1218.3190;-57.2000;-51.7400;-5.4600
1218.5180;-57.1900;-51.6900;-5.5000
1218.7170;-57.2100;-51.6500;-5.5600
1218.9160;-57.2300;-51.6100;-5.6200
1219.1150;-57.2600;-51.5600;-5.7000
1219.3140;-57.2800;-51.5400;-5.7400
1219.5130;-57.3100;-51.5000;-5.8100
1219.7120;-57.3500;-51.4500;-5.9000
1219.9120;-57.3800;-51.4200;-5.9600
1220.1110;-57.4000;-51.3900;-6.0100
1220.3100;-57.4200;-51.3500;-6.0700
1220.5090;-57.4300;-51.3000;-6.1300
1220.7080;-57.4500;-51.2600;-6.1900
1220.9070;-57.4300;-51.2200;-6.2100
1221.1060;-57.3700;-51.1600;-6.2100
1221.3050;-57.3300;-51.1200;-6.2100
1221.5040;-57.2900;-51.0400;-6.2500
1221.7040;-57.2100;-50.9900;-6.2200
1221.9030;-57.0800;-50.9400;-6.1400
1222.1020;-56.9600;-50.8600;-6.1000
1222.3010;-56.8500;-50.8100;-6.0400
1222.5000;-56.6800;-50.7300;-5.9500
1222.6990;-56.5400;-50.6700;-5.8700
1222.8980;-56.3700;-50.5900;-5.7800
1223.0970;-56.2200;-50.5100;-5.7100
1223.2970;-56.0600;-50.4600;-5.6000
1223.4960;-55.8400;-50.3700;-5.4700
1223.6950;-55.7000;-50.3000;-5.4000
1223.8940;-55.5800;-50.2400;-5.3400
1224.0930;-55.4300;-50.1600;-5.2700
1224.2920;-55.2800;-50.1100;-5.1700
1224.4910;-55.1500;-50.0200;-5.1300
1224.6900;-55.0700;-49.9600;-5.1100
1224.8890;-54.9400;-49.9000;-5.0400
1225.0890;-54.8600;-49.8400;-5.0200
1225.2880;-54.7700;-49.7800;-4.9900
1225.4870;-54.7100;-49.7100;-5.0000
1225.6860;-54.6700;-49.6600;-5.0100
1225.8850;-54.6100;-49.6200;-4.9900
1226.0840;-54.5800;-49.5500;-5.0300
1226.2830;-54.5700;-49.5100;-5.0600
1226.4820;-54.5600;-49.4400;-5.1200
1226.6810;-54.5800;-49.4000;-5.1800
1226.8810;-54.5900;-49.3500;-5.2400
1227.0800;-54.6300;-49.2800;-5.3500
1227.2790;-54.6700;-49.2400;-5.4300
1227.4780;-54.6900;-49.1700;-5.5200
1227.6770;-54.7600;-49.1100;-5.6500
1227.8760;-54.8200;-49.0500;-5.7700
1228.0750;-54.8700;-48.9800;-5.8900
1228.2740;-54.9300;-48.9200;-6.0100
1228.4740;-54.9700;-48.8400;-6.1300
1228.6730;-55.0400;-48.7700;-6.2700
1228.8720;-55.0500;-48.7000;-6.3500
1229.0710;-55.0600;-48.6200;-6.4400
1229.2700;-55.0800;-48.5500;-6.5300
1229.4690;-55.0600;-48.4500;-6.6100
1229.6680;-55.0300;-48.3800;-6.6500
1229.8670;-54.9600;-48.3000;-6.6600
1230.0660;-54.8900;-48.2100;-6.6800
1230.2660;-54.8000;-48.1300;-6.6700
1230.4650;-54.6800;-48.0400;-6.6400
1230.6640;-54.5600;-47.9600;-6.6000
1230.8630;-54.4300;-47.8900;-6.5400
1231.0620;-54.2900;-47.8100;-6.4800
1231.2610;-54.1400;-47.7600;-6.3800
1231.4600;-53.9800;-47.6800;-6.3000
1231.6590;-53.8400;-47.6200;-6.2200
1231.8580;-53.6600;-47.5500;-6.1100
1232.0580;-53.5000;-47.5000;-6.0000
1232.2570;-53.3400;-47.4400;-5.9000
1232.4560;-53.2000;-47.3700;-5.8300
1232.6550;-53.0500;-47.3200;-5.7300
1232.8540;-52.8900;-47.2500;-5.6400
1233.0530;-52.7500;-47.2000;-5.5500
1233.2520;-52.6200;-47.1500;-5.4700
1233.4510;-52.4800;-47.0700;-5.4100
1233.6500;-52.3700;-47.0300;-5.3400
1233.8500;-52.2500;-46.9500;-5.3000
1234.0490;-52.1700;-46.8900;-5.2800
1234.2480;-52.0700;-46.8300;-5.2400
1234.4470;-51.9800;-46.7500;-5.2300
