Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1200.0000;-61.3700;-57.0400;-4.3300
1200.1990;-61.3300;-57.0100;-4.3200
1200.3980;-61.2700;-56.9700;-4.3000
1200.5970;-61.2900;-56.9600;-4.3300
1200.7970;-61.2100;-56.9200;-4.2900
1200.9960;-61.1700;-56.9000;-4.2700
1201.1950;-61.0900;-56.8600;-4.2300
1201.3940;-61.0600;-56.8000;-4.2600
1201.5930;-61.0400;-56.7800;-4.2600
1201.7920;-60.9500;-56.7400;-4.2100
1201.9910;-60.9000;-56.6800;-4.2200
1202.1900;-60.8900;-56.6500;-4.2400
1202.3890;-60.8200;-56.5600;-4.2600
1202.5890;-60.8100;-56.5200;-4.2900
1202.7880;-60.7700;-56.4800;-4.2900
1202.9870;-60.7800;-56.4300;-4.3500
1203.1860;-60.7500;-56.3600;-4.3900
1203.3850;-60.7100;-56.3000;-4.4100
1203.5840;-60.7200;-56.3000;-4.4200
1203.7830;-60.7100;-56.2500;-4.4600
1203.9820;-60.7400;-56.2000;-4.5400
1204.1810;-60.7000;-56.1500;-4.5500
1204.3810;-60.6300;-56.1100;-4.5200
1204.5800;-60.6700;-56.1100;-4.5600
1204.7790;-60.6300;-56.0600;-4.5700
1204.9780;-60.6000;-56.0100;-4.5900
1205.1770;-60.5800;-56.0000;-4.5800
1205.3760;-60.5100;-55.9800;-4.5300
1205.5750;-60.4900;-55.9600;-4.5300
1205.7740;-60.4800;-55.9300;-4.5500
1205.9740;-60.3900;-55.9100;-4.4800
1206.1730;-60.3300;-55.9200;-4.4100
1206.3720;-60.2900;-55.8800;-4.4100
1206.5710;-60.2900;-55.8700;-4.4200
1206.7700;-60.2200;-55.8300;-4.3900
1206.9690;-60.1500;-55.8100;-4.3400
1207.1680;-60.1300;-55.8300;-4.3000
1207.3670;-60.1000;-55.7800;-4.3200
1207.5660;-60.0700;-55.7300;-4.3400
1207.7660;-60.0300;-55.7100;-4.3200
1207.9650;-59.9700;-55.6900;-4.2800
1208.1640;-59.9600;-55.6500;-4.3100
1208.3630;-59.9100;-55.5800;-4.3300
1208.5620;-59.8500;-55.5500;-4.3000
1208.7610;-59.7900;-55.5300;-4.2600
1208.9600;-59.7700;-55.4700;-4.3000
1209.1590;-59.7300;-55.4200;-4.3100
1209.3580;-59.6500;-55.3500;-4.3000
1209.5580;-59.5900;-55.3200;-4.2700
1209.7570;-59.5600;-55.2900;-4.2700
1209.9560;-59.5300;-55.2200;-4.3100
1210.1550;-59.4800;-55.1700;-4.3100
1210.3540;-59.4200;-55.1200;-4.3000
1210.5530;-59.3900;-55.0900;-4.3000
1210.7520;-59.3800;-55.0300;-4.3500
1210.9510;-59.3300;-54.9700;-4.3600
1211.1500;-59.2900;-54.9500;-4.3400
1211.3500;-59.2500;-54.9100;-4.3400
1211.5490;-59.2900;-54.8600;-4.4300
1211.7480;-59.2600;-54.8200;-4.4400
1211.9470;-59.2000;-54.7900;-4.4100
1212.1460;-59.2200;-54.7700;-4.4500
