Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1200.0000;-56.9900;-54.7600;-2.2300
1200.1990;-56.9100;-54.7300;-2.1800
1200.3980;-56.9200;-54.7000;-2.2200
1200.5970;-56.9500;-54.6700;-2.2800
1200.7970;-56.9500;-54.6400;-2.3100
1200.9960;-56.9100;-54.6100;-2.3000
1201.1950;-56.8800;-54.5600;-2.3200
1201.3940;-56.8900;-54.5300;-2.3600
1201.5930;-56.8600;-54.4900;-2.3700
1201.7920;-56.8200;-54.4200;-2.4000
1201.9910;-56.7900;-54.3800;-2.4100
1202.1900;-56.7500;-54.3300;-2.4200
1202.3890;-56.7200;-54.2800;-2.4400
1202.5890;-56.7000;-54.2200;-2.4800
1202.7880;-56.6600;-54.1600;-2.5000
1202.9870;-56.5800;-54.1200;-2.4600
1203.1860;-56.5400;-54.0600;-2.4800
1203.3850;-56.5400;-54.0100;-2.5300
1203.5840;-56.4800;-53.9700;-2.5100
1203.7830;-56.3900;-53.9100;-2.4800
1203.9820;-56.3900;-53.9000;-2.4900
1204.1810;-56.3800;-53.8400;-2.5400
1204.3810;-56.3300;-53.8000;-2.5300
1204.5800;-56.2600;-53.7700;-2.4900
1204.7790;-56.2400;-53.7300;-2.5100
1204.9780;-56.2500;-53.7100;-2.5400
1205.1770;-56.2100;-53.6600;-2.5500
1205.3760;-56.1500;-53.6500;-2.5000
1205.5750;-56.1400;-53.6300;-2.5100
1205.7740;-56.1400;-53.6000;-2.5400
1205.9740;-56.1500;-53.5900;-2.5600
1206.1730;-56.1000;-53.5600;-2.5400
1206.3720;-56.0900;-53.5400;-2.5500
1206.5710;-56.1100;-53.5200;-2.5900
1206.7700;-56.0800;-53.4900;-2.5900
1206.9690;-56.0700;-53.4600;-2.6100
1207.1680;-56.0400;-53.4200;-2.6200
1207.3670;-56.0200;-53.4000;-2.6200
1207.5660;-56.0100;-53.3700;-2.6400
1207.7660;-55.9700;-53.3200;-2.6500
1207.9650;-55.9600;-53.3000;-2.6600
1208.1640;-55.9100;-53.2500;-2.6600
1208.3630;-55.9000;-53.1900;-2.7100
1208.5620;-55.8800;-53.1500;-2.7300
