Filename,N_ext,DGD_ps,PMD_Coeff,Delta_dB
1.csv,29,0.5991,2.6793,0.51
10.csv,31,0.6404,2.8640,0.36
100.csv,21,0.4338,1.9401,0.39
11.csv,29,0.5991,2.6793,0.33
12.csv,28,0.5784,2.5869,0.54
13.csv,29,0.5991,2.6793,0.26
14.csv,25,0.5165,2.3097,0.71
15.csv,29,0.5991,2.6793,0.27
16.csv,30,0.6198,2.7716,0.27
17.csv,23,0.4751,2.1249,0.46
18.csv,26,0.5371,2.4021,1.09
19.csv,30,0.6198,2.7716,0.26
2.csv,31,0.6404,2.8640,0.27
20.csv,30,0.6198,2.7716,0.41
21.csv,19,0.3925,1.7554,1.75
22.csv,30,0.6198,2.7716,0.35
23.csv,28,0.5784,2.5869,0.42
24.csv,28,0.5784,2.5869,0.49
25.csv,24,0.4958,2.2173,0.64
26.csv,26,0.5371,2.4021,0.61
27.csv,28,0.5784,2.5869,0.48
28.csv,28,0.5784,2.5869,0.67
29.csv,30,0.6198,2.7716,0.29
3.csv,25,0.5165,2.3097,0.90
30.csv,28,0.5784,2.5869,1.11
31.csv,22,0.4545,2.0325,0.92
32.csv,30,0.6198,2.7716,0.36
33.csv,25,0.5165,2.3097,0.35
34.csv,30,0.6198,2.7716,0.42
35.csv,25,0.5165,2.3097,0.57
36.csv,31,0.6404,2.8640,0.26
37.csv,29,0.5991,2.6793,0.25
38.csv,31,0.6404,2.8640,0.32
39.csv,28,0.5784,2.5869,0.64
4.csv,28,0.5784,2.5869,0.68
40.csv,22,0.4545,2.0325,1.46
41.csv,27,0.5578,2.4945,0.65
42.csv,25,0.5165,2.3097,0.36
43.csv,19,0.3925,1.7554,1.75
44.csv,31,0.6404,2.8640,0.52
45.csv,21,0.4338,1.9401,0.97
46.csv,28,0.5784,2.5869,0.80
47.csv,30,0.6198,2.7716,0.25
48.csv,23,0.4751,2.1249,0.49
49.csv,28,0.5784,2.5869,0.49
5.csv,27,0.5578,2.4945,0.26
50.csv,30,0.6198,2.7716,0.25
51.csv,31,0.6404,2.8640,0.42
52.csv,29,0.5991,2.6793,0.29
53.csv,21,0.4338,1.9401,1.18
54.csv,21,0.4338,1.9401,1.03
55.csv,19,0.3925,1.7554,1.82
56.csv,26,0.5371,2.4021,0.51
57.csv,28,0.5784,2.5869,0.45
58.csv,28,0.5784,2.5869,0.49
59.csv,19,0.3925,1.7554,1.85
6.csv,30,0.6198,2.7716,0.70
60.csv,19,0.3925,1.7554,1.78
61.csv,25,0.5165,2.3097,0.29
62.csv,25,0.5165,2.3097,0.42
63.csv,26,0.5371,2.4021,0.76
64.csv,26,0.5371,2.4021,0.61
65.csv,24,0.4958,2.2173,0.67
66.csv,25,0.5165,2.3097,0.33
67.csv,23,0.4751,2.1249,0.52
68.csv,19,0.3925,1.7554,1.79
69.csv,23,0.4751,2.1249,0.57
7.csv,19,0.3925,1.7554,1.91
70.csv,25,0.5165,2.3097,0.45
71.csv,25,0.5165,2.3097,0.30
72.csv,19,0.3925,1.7554,1.75
73.csv,23,0.4751,2.1249,0.39
74.csv,21,0.4338,1.9401,1.41
75.csv,19,0.3925,1.7554,1.81
76.csv,28,0.5784,2.5869,0.42
77.csv,26,0.5371,2.4021,0.77
78.csv,25,0.5165,2.3097,0.26
79.csv,28,0.5784,2.5869,0.58
8.csv,31,0.6404,2.8640,0.30
80.csv,25,0.5165,2.3097,0.35
81.csv,26,0.5371,2.4021,0.46
82.csv,23,0.4751,2.1249,0.36
83.csv,23,0.4751,2.1249,0.32
84.csv,21,0.4338,1.9401,0.92
85.csv,19,0.3925,1.7554,1.89
86.csv,28,0.5784,2.5869,0.26
87.csv,23,0.4751,2.1249,0.46
88.csv,28,0.5784,2.5869,0.46
89.csv,25,0.5165,2.3097,0.26
9.csv,26,0.5371,2.4021,0.96
90.csv,23,0.4751,2.1249,0.51
91.csv,29,0.5991,2.6793,0.49
92.csv,23,0.4751,2.1249,0.60
93.csv,28,0.5784,2.5869,0.48
94.csv,28,0.5784,2.5869,0.41
95.csv,19,0.3925,1.7554,1.82
96.csv,21,0.4338,1.9401,1.50
97.csv,25,0.5165,2.3097,0.33
98.csv,21,0.4338,1.9401,0.38
99.csv,25,0.5165,2.3097,0.27
